Sample	End 1 Sense	End 1 Antisense	End 2 Sense	End 2 Antisense
B15-25_1_2	219502.0	7596503.0	7671569.0	219391.0
B15-28_1_1	1931129.0	128435514.0	128685379.0	1854207.0
B16-47_1_2	505213.0	23588019.0	23841777.0	496199.0
B16-48_1_1	1989526.0	98007237.0	98173262.0	1903997.0
BB0280_CH_AffF_2	385977.0	27790605.0	27966098.0	349750.0
BEG_1025-1_T999_R1	658361.0	56189948.0	55262119.0	612073.0
BEG_1078-1_T1071_R1	929863.0	74992889.0	73890419.0	866837.0
BEG_1230-1_T1227_R1	440328.0	33649893.0	33310798.0	420454.0
BEG_14-4_T65_R1	650099.0	50130167.0	49561812.0	604288.0
BEG_1438-1_T1339_R1	732904.0	57457648.0	56599400.0	677778.0
BEG_851-1_T840_R1	1097776.0	61190896.0	60585985.0	990377.0
BEG_887-1_T1240_R1	867773.0	59109385.0	58267563.0	804214.0
BEG_916-1_T916_R1	657354.0	53960875.0	53394379.0	607218.0
BON_B09-27-1_1	447121.0	24409653.0	24467224.0	427198.0
BON_B12-33-2_1	370467.0	25260809.0	25250172.0	371981.0
BON_B12-71_2_R1	837023.0	89832206.0	89623409.0	797146.0
BON_B12-74-1_1	461815.0	24676201.0	24674788.0	440590.0
BON_B12-76-1_2	657647.0	33253799.0	33167681.0	627804.0
BON_B14-163-1_2	500535.0	26877678.0	26747988.0	496286.0
BON_B14-20_1	359524.0	20375874.0	20299803.0	344635.0
BON_B14-51_1_2	427602.0	44875960.0	44847014.0	408784.0
BON_B14-60-1_2	806875.0	38785690.0	39078150.0	755507.0
BON_B14-71-2_1	522943.0	23774561.0	23782056.0	500741.0
BON_B14-75-1_1	445510.0	22723411.0	22686702.0	439502.0
BON_B15-118_1	611873.0	35035963.0	34809633.0	602397.0
BON_B15-125_1_2	665050.0	62798779.0	62721016.0	635877.0
BON_B15-26_1_1	352342.0	44236171.0	44189498.0	338841.0
BON_B15-76-2_2	675237.0	36119566.0	36099680.0	658087.0
BON_B15-98_1_2	517950.0	50091452.0	49998167.0	493386.0
BON_B16-19_1	406635.0	22860061.0	22905669.0	383662.0
BON_B16-22_1	308243.0	21532605.0	21511046.0	296758.0
BON_B16-50_1_2	601527.0	42277100.0	42265191.0	557196.0
BON_B16-53-1_1	2503149.0	85981465.0	86794479.0	2368891.0
BON_B16-57_1_2	401465.0	34371184.0	34397170.0	376698.0
BON_B16-75-1_2	619392.0	36277010.0	36196014.0	602804.0
BON_B16_30_1_1	1237219.0	68168636.0	68492343.0	1182584.0
BON_B16_80_1_1	1407096.0	51178771.0	51529142.0	1330108.0
BON_B17-23_1_R1	1944639.0	102595490.0	102899287.0	1789061.0
BON_B17-28_1_R1	1235858.0	117894457.0	117516172.0	1176895.0
BON_B18-24_1_R1	552651.0	34779729.0	34887695.0	520898.0
BON_B18-25_1_R1	564952.0	37273037.0	37404699.0	549180.0
BON_B18-54_1_R1	743858.0	39282712.0	39370458.0	700949.0
BON_UC219-1_1	388913.0	21931135.0	21911832.0	385937.0
BON_UC473_1	453678.0	24019360.0	23958036.0	453541.0
CLA_143BN_BB_2	31648754.0	31311790.0	31494617.0	31172062.0
CLA_179CI_GG_2	12086943.0	11930884.0	12013700.0	11820494.0
CLA_180CJ_DP_2	41081397.0	41416990.0	41904701.0	40339264.0
CLA_329FK_RR_2	475904.0	27423138.0	27480282.0	448089.0
CLA_338FT_DM_2	483602.0	25673691.0	25752134.0	450076.0
CLA_388HV_XX_1	3430152.0	3348488.0	3362290.0	3342636.0
CLA_62R_CaM_2	187404.0	188129.0	186606.0	183657.0
CLA_62R_CaM_3	513594.0	30299292.0	30328566.0	475095.0
CLA_79Z_CP_2	11821845.0	11751328.0	11777963.0	11586943.0
HK006_0016_R1	375267.0	37629347.0	37680218.0	363721.0
HK010_0026_R1	716438.0	81587719.0	81658606.0	690426.0
HK011_0029_R1	572759.0	43379643.0	43261988.0	511230.0
HK018_0047_2	628634.0	39183046.0	39150418.0	590042.0
HK024_0065_R1	713706.0	49053648.0	49004402.0	670856.0
HK028_0073_R1	537449.0	44976354.0	44992962.0	506527.0
HK044_0109_R1	379279.0	41213255.0	41131911.0	361712.0
HK069-0177_2	557895.0	37357087.0	37183712.0	541576.0
HK072-001_2	820853.0	56502060.0	56358722.0	782479.0
HK085-001_R1	654312.0	77531645.0	77528938.0	635720.0
HK088-001_2	308669.0	37272002.0	37145043.0	309651.0
HK101-001_R1	856008.0	93825821.0	93272820.0	804368.0
HK106-001_R1	537611.0	42670001.0	42623837.0	482762.0
ICCV_458_10CC06258_02	599006.0	49076773.0	48720883.0	596778.0
K1157-1-4	1078808.0	56895879.0	57118791.0	974291.0
LIA_EDW01_1	449203.0	22069702.0	22045171.0	425158.0
LIA_MAS02_2	1650759.0	67798663.0	67373445.0	1488624.0
LIA_TIS03_2	377723.0	20474208.0	20477567.0	365556.0
MAN_0063_01_02	26457.0	1379072.0	1381425.0	25512.0
MAN_0063_01_03	11584.0	243934.0	244426.0	11243.0
MAN_1001_01_M1_D1	867366.0	62903466.0	63149681.0	818144.0
MBEL028_001_3	348309.0	28720559.0	28659589.0	329590.0
MBEL028_002_1	423374.0	31265680.0	31262075.0	392923.0
MBRU030_2	325628.0	28270254.0	28284641.0	306485.0
MCOP008_001_2	418606.0	32327868.0	32198435.0	399637.0
MESP014_2	630774.0	28060749.0	27982594.0	624677.0
MESP021_001_2	403123.0	32397957.0	32376175.0	369097.0
MESP039_2	509634.0	45894335.0	45695129.0	485038.0
MGLA003_001_2	381314.0	31236979.0	31064062.0	363099.0
MMAD002_001_2	280718.0	24725497.0	24689982.0	263790.0
MTEH041_001_2	475642.0	32738866.0	32688479.0	452606.0
M_0146-01-H1	29238431.0	29428813.0	29450845.0	29120511.0
NH11-441	21064480.0	21008916.0	21095845.0	20955504.0
NH12-1413	21897452.0	21815924.0	21880530.0	21797709.0
NH12-843_Fibroblasts	395879.0	19617734.0	19506163.0	349614.0
NH12-843_MyoD_Day5	970652.0	37591228.0	37477103.0	970274.0
OUN_HK018_0047_R1	1428638.0	83196512.0	83138636.0	1299129.0
OUN_HK047_0116_R1	1077081.0	74863531.0	74958587.0	991922.0
OUN_HK079_001_R1	952517.0	72642880.0	72832852.0	866721.0
OUN_HK080_001_R1	1110303.0	76148195.0	76169659.0	1056946.0
OUN_HK081_001_R1	1238662.0	88286958.0	88228211.0	1162362.0
OUN_HK112_001_R1	1327350.0	81394979.0	81856436.0	1230189.0
OUN_HK116_001_R1	1087356.0	80700196.0	80435943.0	1022239.0
OUN_HK124_001_R1	537002.0	43228239.0	43208984.0	498996.0
OUN_HK137_001_R1	1030977.0	71931236.0	72132630.0	955320.0
RGP_248_3	1167054.0	45575246.0	45846047.0	1103584.0
RGP_273_3_R1	617797.0	52779406.0	52849888.0	575857.0
RGP_54_3_2	635398.0	48678961.0	48484468.0	587591.0
RGP_56_3_3	629738.0	34614354.0	34573151.0	564609.0
RGP_7_1_2	358167.0	38026497.0	38016304.0	328213.0
RGP_7_2_2	310886.0	37547171.0	37516127.0	289744.0
RGP_7_3_2	481907.0	40788416.0	40724520.0	436941.0
RGP_7_5_2	330034.0	37754227.0	37612309.0	307529.0
RGP_94_3_2	579047.0	41270200.0	41201907.0	550616.0
RGP_94_4_2	817280.0	39795479.0	39644843.0	764326.0
RP-1118_MAN_1438-01-M1_R1_v2_RNA_OnPrem	740180.0	70535221.0	70633474.0	726493.0
RP-2034_RGP_800_3_2_v2_RNA_OnPrem	300957.0	19388594.0	19360009.0	285526.0
RP-2073_193CP_LS_R1_v3_RNA_OnPrem	1539716.0	103196559.0	103199774.0	1484564.0
RP-2073_92AI_SM_R1_v2_RNA_OnPrem	687369.0	41306777.0	41372082.0	660074.0
RP-2073_INMR_GB_408_R1_v2_RNA_OnPrem	692626.0	37683597.0	37759285.0	660248.0
RP-2073_INMR_GI_456_R1_v2_RNA_OnPrem	484515.0	37342849.0	37304249.0	468323.0
RP-2073_INMR_HW_389_R1_v3_RNA_OnPrem	1650019.0	89512373.0	89526350.0	1588849.0
RP-2073_INMR_HZ_401_R1_v3_RNA_OnPrem	1379695.0	94871022.0	94926516.0	1327364.0
RP-2073_INMR_IG_561_R1_v3_RNA_OnPrem	1603966.0	94558911.0	94520487.0	1533454.0
RP-2073_INMR_IK_581_R1_v3_RNA_OnPrem	1685047.0	86189364.0	86400855.0	1608537.0
RP-2073_INMR_IV_615_R1_v3_RNA_OnPrem	768351.0	69791420.0	69715743.0	742199.0
SRPK3_EM__1	361575.0	27806493.0	27771804.0	338507.0
SRPK3_JAP_1	293108.0	29019932.0	28977019.0	273292.0
SRPK3_USA_1	1083587.0	66628154.0	66659168.0	1008834.0
SWE_36223_1	1206417.0	50627246.0	50574405.0	1087219.0
SWE_36326_1	827659.0	52316864.0	52242050.0	761174.0
T1244	14142001.0	14135503.0	14211025.0	13979982.0
T238	17535196.0	17507413.0	17538460.0	17388771.0
T757	13061000.0	12947395.0	13019917.0	12895098.0
T850	13266504.0	13108959.0	13156431.0	13108922.0
T892	13511522.0	13540124.0	13533113.0	13385964.0
TOP_MAAC031_F_Muscle1	42108434.0	42006667.0	41533672.0	40777762.0
UC223-1RNA	14205410.0	14321093.0	14304226.0	14454755.0
UC305-1M	24878894.0	24974922.0	25056420.0	24515844.0
UC316-1M	21119050.0	21089172.0	21164628.0	20814257.0
UC368-1M	28881238.0	28796799.0	28907130.0	28545522.0
UC393-1M	24858365.0	25156562.0	25177526.0	24586525.0
UC84-1RNA	11311942.0	11391484.0	11363091.0	11351312.0
UWA_FAM7_PT_D16-1243_2	1667085.0	66602237.0	66143919.0	1528440.0
VCGS_DLS_FAM1_1_R1	686479.0	62270312.0	62246645.0	666307.0
VCGS_FAM11_32_2	523676.0	38010783.0	37928974.0	484738.0
VCGS_FAM12_36_2	1134692.0	43424600.0	43353581.0	995407.0
VCGS_FAM147_459_2	424160.0	53136190.0	53011343.0	415502.0
VCGS_FAM148_462_2	532772.0	63664537.0	63496469.0	512147.0
VCGS_FAM149_465_2	746425.0	63513059.0	63485789.0	702198.0
VCGS_FAM150_468_2	565200.0	66975267.0	66930963.0	534782.0
VCGS_FAM1_1_2	638958.0	43778011.0	43678153.0	575323.0
VCGS_FAM22_69_2	568325.0	49845925.0	49747258.0	547721.0
VCGS_FAM26_81_2	455129.0	37194855.0	37120722.0	441201.0
VCGS_FAM27_84_2	427770.0	36569742.0	36413156.0	400986.0
VCGS_FAM29_90_R1	615095.0	39321748.0	39267819.0	555763.0
VCGS_FAM2_4_2	492246.0	60212485.0	60083290.0	478750.0
VCGS_FAM31_97_2	762748.0	40688904.0	40543440.0	664114.0
VCGS_FAM39_123_R1	237510.0	32056026.0	32008048.0	224939.0
VCGS_FAM3_7_2	650429.0	67286962.0	67104583.0	626991.0
VCGS_FAM41_129_2	652317.0	34009785.0	33952732.0	574830.0
VCGS_FAM42_132_2	460167.0	37615563.0	37499715.0	419895.0
VCGS_FAM49_153_R1	305691.0	43645036.0	43560128.0	289940.0
VCGS_FAM4_13_2	700572.0	43491438.0	43430582.0	626292.0
VCGS_FAM52_162_3	540156.0	59272287.0	59227222.0	499516.0
VCGS_FAM58_181_R1	375331.0	39958518.0	39942788.0	341738.0
VCGS_FAM61_190_R1	350114.0	50220202.0	50118242.0	334363.0
VCGS_FAM67_209_R1	478626.0	42244250.0	42208783.0	442159.0
VCGS_FAM73_227_2	608289.0	60523607.0	60464126.0	576784.0
VCGS_FAM84_260_R1	200675.0	31551179.0	31559745.0	190546.0
VIL_17_097	603019.0	48461884.0	48493373.0	559235.0
VIL_17_098	561109.0	39307360.0	39526255.0	505874.0
VIL_17_099	771639.0	49815579.0	49885888.0	700912.0
VIL_17_105	545691.0	42765728.0	42734968.0	502246.0
VIL_17_106	669938.0	52549985.0	52676649.0	624089.0
VIL_17_107	753504.0	59333971.0	59469627.0	695928.0
VIL_17_110	620627.0	43437357.0	43512429.0	590535.0
VIL_17_111	448952.0	34169572.0	34390172.0	409554.0
VIL_17_120	719220.0	52307706.0	52593535.0	670763.0
VIL_17_121	851120.0	58178021.0	58418651.0	786820.0
VIL_17_141	596532.0	44284725.0	44591138.0	548718.0
VIL_17_150	1003865.0	67996436.0	68103410.0	902299.0
VIL_17_151	920816.0	63958131.0	64119171.0	820584.0
VIL_17_152	876379.0	61023509.0	61323882.0	793891.0
VIL_17_163	370199.0	22032748.0	22074774.0	346036.0
VIL_17_164	645951.0	45939537.0	45996202.0	601863.0
VIL_18_045	682810.0	55019047.0	55117913.0	639399.0
VIL_18_046	535713.0	40139062.0	40201537.0	499103.0
VIL_18_061	1063488.0	70066511.0	70083317.0	945043.0
VIL_18_120	897930.0	62895322.0	62795727.0	829304.0
