Sample	Unique Reads	Duplicate Reads
OUN_HK080_001_R1	32844096.0	158588200.0
OUN_HK081_001_R1	40174777.0	183513625.0
OUN_HK112_001_R1	61947861.0	151621949.0
OUN_HK116_001_R1	46762709.0	156792236.0
OUN_HK124_001_R1	37853271.0	71566958.0
OUN_HK137_001_R1	66944423.0	116686528.0
RGP_248_3_T1	17481254.0	101737045.0
RGP_273_3_R1	36705290.0	95896722.0
RGP_54_3_2	39850885.0	85926004.0
RGP_56_3_3	26126768.0	62882387.0
RGP_7_1_2	60064088.0	33543275.0
RGP_7_2_2	58717718.0	32856024.0
RGP_7_3_2	63518505.0	38347241.0
RGP_7_4_2	50577970.0	33570748.0
RGP_7_5_2	60230536.0	32369742.0
RGP_800_3_2	19471640.0	30001108.0
RGP_94_3_2	35911878.0	92987155.0
RGP_94_4_2	29867054.0	90273604.0
SRPK3_EM__1	30673783.0	38513111.0
SRPK3_JAP_1	30939763.0	40224765.0
SRPK3_USA_1	44032412.0	129977996.0
SWE_36223_1	77809315.0	56361766.0
SWE_36326_1	79246968.0	53471820.0
T1244	38768330.0	32013077.0
T238	28333867.0	59809063.0
T757	23141319.0	41266535.0
T850	34040627.0	33184355.0
T892	37889236.0	28723908.0
TOP_MAAC031_F_Muscle1	97006195.0	116185199.0
UC223-1RNA	15878830.0	56784370.0
UC305-1M	46765139.0	77455429.0
UC316-1M	41607825.0	62824808.0
UC368-1M	59534847.0	83946889.0
UC393-1M	54732452.0	73049503.0
UC84-1RNA	23213456.0	33138350.0
UWA_FAM7_PT_D16-1243_2	57227186.0	129226123.0
VCGS_DLS_FAM1_1_R1	69617161.0	82691952.0
VCGS_FAM11_32_2	57212487.0	38969548.0
VCGS_FAM12_36_2	68143115.0	50464497.0
VCGS_FAM147_459_2	78443003.0	51770753.0
VCGS_FAM148_462_2	89810977.0	63792317.0
VCGS_FAM149_465_2	87546519.0	71500740.0
VCGS_FAM150_468_2	90004538.0	73790442.0
VCGS_FAM1_1_2	60648877.0	50728127.0
VCGS_FAM22_69_2	62945095.0	60865849.0
VCGS_FAM26_81_2	54918881.0	37891179.0
VCGS_FAM27_84_2	60241173.0	29617226.0
VCGS_FAM29_90_R1	57714777.0	42655941.0
VCGS_FAM2_4_2	81878783.0	70895108.0
VCGS_FAM31_97_2	66090626.0	40059867.0
VCGS_FAM39_123_R1	45592212.0	35859468.0
VCGS_FAM3_7_2	94647343.0	70574389.0
VCGS_FAM41_129_2	56253585.0	32997311.0
VCGS_FAM42_132_2	61111963.0	31651774.0
VCGS_FAM49_153_R1	63146002.0	45990967.0
VCGS_FAM4_13_2	60124315.0	51177192.0
VCGS_FAM52_162_3	88900880.0	57382252.0
VCGS_FAM58_181_R1	56820979.0	43169911.0
VCGS_FAM61_190_R1	67518476.0	56059532.0
VCGS_FAM67_209_R1	61593601.0	43672606.0
VCGS_FAM73_227_2	84508489.0	64209386.0
VCGS_FAM84_260_R1	46054635.0	31541459.0
VIL_17_097	24719715.0	96320411.0
VIL_17_098	36457375.0	62648045.0
VIL_17_099	24783343.0	98248140.0
VIL_17_105	33876598.0	71218661.0
VIL_17_106	42636174.0	87944781.0
VIL_17_107	34633811.0	113896717.0
VIL_17_110	39106975.0	69242393.0
VIL_17_111	30222614.0	55705716.0
VIL_17_120	41626233.0	89696791.0
VIL_17_121	33326674.0	112770897.0
VIL_17_141	47488495.0	65098282.0
VIL_17_150	39217118.0	132669241.0
VIL_17_151	33575400.0	127123941.0
VIL_17_152	40908353.0	113407810.0
VIL_17_163	16652613.0	37873506.0
VIL_17_164	30540605.0	83971654.0
VIL_18_045	49486386.0	89097192.0
VIL_18_046	32059543.0	68128624.0
VIL_18_061	23301031.0	151840817.0
VIL_18_120	30517662.0	125632068.0
