Sample	Mapping Rate	Unique Rate of Mapped	Duplicate Rate of Mapped	Duplicate Rate of Mapped, excluding Globins	Base Mismatch	End 1 Mapping Rate	End 2 Mapping Rate	End 1 Mismatch Rate	End 2 Mismatch Rate	Expression Profiling Efficiency	High Quality Rate	Exonic Rate	Intronic Rate	Intergenic Rate	Intragenic Rate	Ambiguous Alignment Rate	High Quality Exonic Rate	High Quality Intronic Rate	High Quality Intergenic Rate	High Quality Intragenic Rate	High Quality Ambiguous Alignment Rate	Discard Rate	rRNA rate	End 1 Sense Rate	End 2 Sense Rate	Avg. Splits per Read	Alternative Alignments	Chimeric Reads	Chimeric Alignment Rate	Duplicate Reads	End 1 Antisense	End 2 Antisense	End 1 Bases	End 2 Bases	End 1 Mapped Reads	End 2 Mapped Reads	End 1 Mismatches	End 2 Mismatches	End 1 Sense	End 2 Sense	Exonic Reads	Failed Vendor QC	High Quality Reads	Intergenic Reads	Intragenic Reads	Ambiguous Reads	Intronic Reads	Low Mapping Quality	Low Quality Reads	Mapped Duplicate Reads	Mapped Reads	Mapped Unique Reads	Mismatched Bases	Non-Globin Reads	Non-Globin Duplicate Reads	Reads used for Intron/Exon counts	rRNA Reads	Total Bases	Total Mapped Pairs	Total Read Number	Unique Mapping, Vendor QC Passed Reads	Unpaired Reads	Read Length	Genes Detected	Estimated Library Complexity	Genes used in 3' bias	Mean 3' bias	Median 3' bias	3' bias Std	3' bias MAD_Std	3' Bias, 25th Percentile	3' Bias, 75th Percentile	Median of Avg Transcript Coverage	Median of Transcript Coverage Std	Median of Transcript Coverage CV	Median Exon CV	Exon CV MAD
BON_B18-37_1	0.993144	1.0	0.0	0.0	0.00303794	0.99485	0.991439	0.00255116	0.00352639	0.921631	0.924988	0.927993	0.0363992	0.0227852	0.964393	0.0128221	0.956802	0.0264305	0.0062578	0.983233	0.0105095	0.0	0.00463716	0.00946731	0.991279	0.434698	24727880.0	772120.0	0.00712743	0.0	46417477.0	408526.0	5480095471.0	5461305532.0	54258371.0	54072332.0	13980573.0	19258706.0	443649.0	46437726.0	100530186.0	0.0	100204570.0	2468339.0	104473342.0	1389022.0	3943156.0	7207102.0	8126133.0	0.0	108330703.0	108330703.0	33239279.0	108330692.0	0.0	108330703.0	502347.0	10941401003.0	53992086.0	133806394.0	109078514.0	0.0	101.0	20681.0	0.0	8961.0	0.433431	0.38985	0.306855	0.375108	0.159091	0.684211	2.05	2.05828	0.864542	0.183044	0.17183
BON_B18-70_1	0.992278	1.0	0.0	0.0	0.00212669	0.993718	0.990838	0.00205111	0.00220249	0.91315	0.933924	0.920256	0.0412729	0.0196782	0.961529	0.0187932	0.934918	0.038117	0.0114587	0.973035	0.0155064	0.0	0.0119283	0.0168598	0.984271	0.414629	20262916.0	870926.0	0.00628223	0.0	57371320.0	921002.0	7011136190.0	6990815798.0	69417190.0	69215998.0	14380643.0	15397195.0	983854.0	57631750.0	127577995.0	0.0	129472907.0	2728045.0	133299788.0	2605355.0	5721793.0	8478565.0	9160281.0	0.0	138633188.0	138633188.0	29777838.0	138617741.0	0.0	138633188.0	1653661.0	14001951988.0	69092806.0	159974909.0	139711993.0	0.0	101.0	24134.0	0.0	9452.0	0.504926	0.5	0.303963	0.399162	0.233831	0.770115	4.82083	3.8828	0.880805	0.215162	0.201728
BON_B18_65_CHX_1	0.992451	1.0	0.0	0.0	0.00191562	0.994169	0.990732	0.0017554	0.0020764	0.895727	0.916355	0.90254	0.0419804	0.0364495	0.944521	0.0190296	0.939686	0.0309676	0.0135993	0.970653	0.0157476	0.0	0.0043119	0.0208761	0.979363	0.391023	22663082.0	283593.0	0.00376787	0.0	31791398.0	667785.0	3807516382.0	3794355476.0	37698182.0	37567876.0	6683727.0	7878598.0	677832.0	31690774.0	67930665.0	0.0	68970415.0	2743408.0	71090366.0	1432284.0	3159701.0	6036095.0	6295643.0	0.0	75266058.0	75266058.0	14562325.0	75266044.0	0.0	75266058.0	324540.0	7601871858.0	37486917.0	98501670.0	75838588.0	0.0	101.0	20818.0	0.0	6775.0	0.439217	0.4	0.313556	0.39536	0.152174	0.703704	1.2399	1.47163	0.98163	0.224998	0.227087
BON_B19-03_CHX_1	0.99302	1.0	0.0	0.0	0.00183768	0.994596	0.991443	0.00172877	0.00194694	0.908565	0.927614	0.914952	0.0370005	0.0303543	0.951952	0.0176934	0.942254	0.0291695	0.0140074	0.971423	0.0145695	0.0	0.00346025	0.0190711	0.98125	0.400286	20224735.0	453706.0	0.00517165	0.0	37275086.0	711228.0	4437370663.0	4423305201.0	43934363.0	43795101.0	7671187.0	8611893.0	724696.0	37221428.0	80268231.0	0.0	81379113.0	2662969.0	83514265.0	1552230.0	3246034.0	5902569.0	6350351.0	0.0	87729464.0	87729464.0	16283080.0	87729443.0	0.0	87729464.0	303566.0	8860675864.0	43702192.0	108570898.0	88346163.0	0.0	101.0	22161.0	0.0	7893.0	0.449939	0.414425	0.313641	0.403807	0.164384	0.723404	1.97817	2.00587	0.951509	0.210698	0.210513
BON_B19-45_CHX_1	0.992672	1.0	0.0	0.0	0.00527116	0.995619	0.989726	0.00296413	0.00759193	0.900188	0.928033	0.906833	0.044698	0.0273437	0.951531	0.0211257	0.931937	0.0366944	0.013337	0.968632	0.0180313	0.0	0.0032156	0.0150496	0.985408	0.381045	27580069.0	436458.0	0.00316483	0.0	59239093.0	872247.0	6985066979.0	6943722225.0	69159079.0	68749725.0	20704672.0	52716262.0	905147.0	58904706.0	125060214.0	0.0	127983950.0	3770934.0	131224455.0	2913415.0	6164241.0	8598837.0	9924854.0	0.0	137908804.0	137908804.0	73420934.0	137908669.0	0.0	137908804.0	443459.0	13928789204.0	68676811.0	166506902.0	138926833.0	0.0	101.0	23409.0	0.0	8876.0	0.440752	0.4	0.312098	0.39536	0.160377	0.709091	2.83894	2.46069	0.891647	0.191633	0.193328
BON_B19-52_CHX_1	0.992175	1.0	0.0	0.0	0.00170162	0.993516	0.990833	0.00167896	0.00172434	0.903492	0.924026	0.910618	0.0364429	0.0362248	0.94706	0.0167147	0.941602	0.0268495	0.0176734	0.968452	0.013875	0.0	0.00385546	0.0224759	0.977938	0.410941	21437106.0	373888.0	0.00437265	0.0	35967319.0	811129.0	4323895345.0	4312218533.0	42810845.0	42695233.0	7259655.0	7435751.0	826986.0	35955299.0	77863339.0	0.0	79009812.0	3097444.0	80979425.0	1429209.0	3116086.0	6234867.0	6496266.0	0.0	85506078.0	85506078.0	14695406.0	85506047.0	0.0	85506078.0	329665.0	8636113878.0	42599241.0	107617562.0	86180456.0	0.0	101.0	22894.0	0.0	8026.0	0.465354	0.444444	0.311008	0.403313	0.181818	0.732143	2.2741	2.22913	0.961267	0.210794	0.212238
BON_B19-54_CHX_1	0.993216	1.0	0.0	0.0	0.00472484	0.99558	0.990852	0.00279699	0.00666188	0.897797	0.921606	0.903929	0.04078	0.0348171	0.944709	0.0204742	0.933179	0.0320057	0.0177929	0.965185	0.0170223	0.0	0.00429926	0.0225337	0.978165	0.391986	33022915.0	302742.0	0.00219301	0.0	57995112.0	1288885.0	6988056276.0	6954872120.0	69188676.0	68860120.0	19545523.0	46332532.0	1336971.0	57740057.0	124786269.0	0.0	127226559.0	4806456.0	130415895.0	2826445.0	5629626.0	9736494.0	10822237.0	0.0	138048796.0	138048796.0	65878055.0	138048731.0	0.0	138048796.0	593508.0	13942928396.0	68759533.0	172014609.0	138991694.0	0.0	101.0	23295.0	0.0	8377.0	0.438065	0.395349	0.312436	0.392788	0.15493	0.704545	2.41423	2.27032	0.915805	0.200194	0.202836
BON_B19-57_1	0.990087	1.0	0.0	0.0	0.00526364	0.994117	0.986057	0.00307746	0.00746768	0.899412	0.925311	0.908418	0.0471131	0.0164484	0.955531	0.028021	0.921646	0.0444682	0.0113428	0.966115	0.0225426	0.0	0.0230406	0.0165919	0.984269	0.369815	14039898.0	1013234.0	0.00830857	0.0	51570646.0	820559.0	6183567339.0	6133435282.0	61223439.0	60727082.0	19029707.0	45802540.0	870090.0	51340052.0	110781989.0	0.0	112842118.0	2005886.0	116527462.0	3417173.0	5745473.0	7668431.0	9108403.0	0.0	121950521.0	121950521.0	64832247.0	121933705.0	0.0	121950521.0	2809811.0	12317002621.0	60634013.0	137211432.0	123171534.0	0.0	101.0	23502.0	0.0	7504.0	0.487483	0.48	0.305112	0.394645	0.220238	0.75	3.51964	2.9274	0.868669	0.217124	0.210962
BON_B19-59_CHX_1	0.992941	1.0	0.0	0.0	0.00499616	0.995666	0.990216	0.0029198	0.00708395	0.898933	0.920294	0.905324	0.04118	0.0322568	0.946504	0.0212393	0.937023	0.0311642	0.0138569	0.968187	0.017956	0.0	0.00328042	0.0178003	0.982942	0.379969	36079284.0	384170.0	0.00267721	0.0	61041879.0	1054372.0	7266453282.0	7226673624.0	71945082.0	71551224.0	21216562.0	51193404.0	1106256.0	60758301.0	129910636.0	0.0	132058758.0	4628726.0	135819813.0	3047767.0	5909177.0	10169741.0	11437548.0	0.0	143496306.0	143496306.0	72409966.0	143496235.0	0.0	143496306.0	470728.0	14493126906.0	71459739.0	180595741.0	144516457.0	0.0	101.0	23575.0	0.0	8769.0	0.439127	0.395758	0.310359	0.389071	0.16	0.702703	2.93108	2.52591	0.889362	0.191748	0.192115
BON_B20-13_1	0.990878	1.0	0.0	0.0	0.00214673	0.992859	0.988896	0.00206182	0.00223197	0.894496	0.938844	0.902731	0.0577264	0.0169805	0.960457	0.0225621	0.912372	0.05559	0.012625	0.967962	0.0194127	0.0	0.0145193	0.0154411	0.984861	0.390215	15034855.0	1038573.0	0.00711639	0.0	61062898.0	939117.0	7384753875.0	7355277732.0	73116375.0	72824532.0	15226039.0	16416795.0	957665.0	61093114.0	131745382.0	0.0	137015787.0	2478152.0	140170025.0	3292730.0	8424643.0	8205893.0	8925120.0	0.0	145940907.0	145940907.0	31642834.0	145919940.0	0.0	145940907.0	2118963.0	14740031607.0	72696591.0	162319360.0	147284505.0	0.0	101.0	24607.0	0.0	9927.0	0.504132	0.500444	0.296786	0.374954	0.248509	0.755556	5.80538	4.5836	0.853539	0.222301	0.204003
BON_B20_36_CHX_1	0.97485	1.0	0.0	0.0	0.0021629	0.976235	0.973465	0.00211529	0.00221065	0.876828	0.909869	0.899449	0.0408593	0.0412067	0.940308	0.0184848	0.940161	0.0301026	0.0150107	0.970263	0.0147261	0.0	0.00449505	0.0246242	0.975615	0.405333	31991730.0	518411.0	0.0054883	0.0	39539387.0	986606.0	4776882163.0	4763328569.0	47295863.0	47161669.0	10104474.0	10530044.0	998205.0	39472415.0	84959753.0	0.0	85943974.0	3892283.0	88819219.0	1746030.0	3859466.0	9746049.0	8513558.0	0.0	94457532.0	94457532.0	20634518.0	94457499.0	0.0	94457532.0	424591.0	9540210732.0	47013724.0	128886112.0	96894382.0	0.0	101.0	22997.0	0.0	8266.0	0.439965	0.4	0.31639	0.400099	0.147929	0.714286	2.20707	2.21501	0.973491	0.209884	0.212562
BON_FC2_CHX-_1	0.99289	1.0	0.0	0.0	0.00172606	0.994159	0.991622	0.00169082	0.0017614	0.918823	0.914449	0.925402	0.0342882	0.0275522	0.95969	0.0127574	0.961337	0.0234411	0.00557183	0.984778	0.00965022	0.0	0.00308716	0.0131588	0.987488	0.452298	62531994.0	1092091.0	0.00549435	0.0	84860150.0	1073062.0	10050512727.0	10024863070.0	99510027.0	99256070.0	16993616.0	17657762.0	1131544.0	84689185.0	183938571.0	0.0	181761473.0	5476452.0	190753901.0	2535744.0	6815330.0	16168472.0	17004624.0	0.0	198766097.0	198766097.0	34651378.0	198766072.0	0.0	198766097.0	613623.0	20075375797.0	99064816.0	262721385.0	200189391.0	0.0	101.0	22132.0	0.0	10809.0	0.420471	0.372166	0.306937	0.373861	0.146667	0.666667	2.94104	2.6243	0.859758	0.161157	0.149979
BON_FC2_CHX_1	0.992472	1.0	0.0	0.0	0.00180074	0.99333	0.991615	0.00178528	0.00181622	0.909623	0.928321	0.916522	0.0364634	0.0289868	0.952985	0.018028	0.940492	0.029818	0.0154053	0.97031	0.014285	0.0	0.00412848	0.0195406	0.980941	0.404436	71250441.0	1469952.0	0.0043711	0.0	142171009.0	2760097.0	16997277476.0	16967920816.0	168289876.0	167999216.0	30344965.0	30817417.0	2833476.0	142057242.0	308216281.0	0.0	312184092.0	9747955.0	320478525.0	6062612.0	12262244.0	22718161.0	24105000.0	0.0	336289092.0	336289092.0	61162382.0	336288949.0	0.0	336289092.0	1388362.0	33965198292.0	167503761.0	410090175.0	338839734.0	0.0	101.0	26468.0	0.0	11823.0	0.433666	0.386349	0.311118	0.386528	0.154639	0.692308	5.97157	4.69277	0.890837	0.180434	0.177745
BON_UC355_CHX_1	0.993666	1.0	0.0	0.0	0.00198959	0.994501	0.992831	0.00197312	0.00200609	0.910716	0.938228	0.916521	0.0366548	0.0287939	0.953175	0.0180308	0.935844	0.0299748	0.018859	0.965818	0.0153225	0.0	0.00306801	0.021555	0.978761	0.430673	26955861.0	642629.0	0.00402699	0.0	67561404.0	1466269.0	8065583260.0	8052042190.0	79857260.0	79723190.0	15914398.0	16153112.0	1488365.0	67569410.0	146258765.0	0.0	149722803.0	4594941.0	152108153.0	2877356.0	5849388.0	9052266.0	9857647.0	0.0	159580450.0	159580450.0	32067510.0	159580163.0	0.0	159580450.0	489595.0	16117625450.0	79547653.0	187553489.0	160597628.0	0.0	101.0	25678.0	0.0	10517.0	0.41561	0.363636	0.300216	0.358827	0.145833	0.657143	4.85134	4.02454	0.936551	0.214899	0.199648
BON_UC522_1	0.991531	1.0	0.0	0.0	0.00374542	0.994455	0.988606	0.00269176	0.00480532	0.933812	0.934982	0.941788	0.0309468	0.0141368	0.972735	0.0131279	0.956677	0.026624	0.00634835	0.983301	0.0103504	0.0	0.00442959	0.008115	0.992225	0.442611	16263789.0	1012020.0	0.00804826	0.0	54937728.0	428925.0	6368799420.0	6331337409.0	63057420.0	62686509.0	17143248.0	30424083.0	449467.0	54735076.0	118424180.0	0.0	117568297.0	1777616.0	122315558.0	1650755.0	3891378.0	6751711.0	8175632.0	0.0	125743929.0	125743929.0	47567331.0	125743903.0	0.0	125743929.0	556994.0	12700136829.0	62599196.0	143081790.0	126818001.0	0.0	101.0	20727.0	0.0	9518.0	0.444659	0.40625	0.308984	0.386094	0.164835	0.702703	1.96278	2.05146	0.887392	0.183487	0.173809
MAN_0694_01	0.975988	1.0	0.0	0.0	0.0019762	0.977589	0.974386	0.00162907	0.00232447	0.797448	0.561266	0.817068	0.0509347	0.0453563	0.868003	0.0866412	0.902167	0.0495078	0.0116903	0.951675	0.036635	0.0	0.00407809	0.0193968	0.98192	0.442688	75585771.0	110683.0	0.00179181	0.0	27577363.0	506571.0	3124581248.0	3114343686.0	30936448.0	30835086.0	5090175.0	7239209.0	545494.0	27511732.0	50471532.0	0.0	34670271.0	2801728.0	53617846.0	5351960.0	3146314.0	28283026.0	27101263.0	0.0	61771534.0	61771534.0	12329384.0	32620717.0	0.0	61771534.0	251910.0	6238924934.0	30759896.0	138877079.0	63291308.0	0.0	101.0	17665.0	0.0	3679.0	0.567644	0.6	0.307441	0.39536	0.307692	0.849315	0.293179	0.748217	1.37039	0.452674	0.454786
RGP_1214_3_M1	0.989789	1.0	0.0	0.0	0.00161657	0.990953	0.988625	0.00157649	0.00165675	0.940788	0.936742	0.950493	0.0232311	0.0115834	0.973724	0.0146921	0.959848	0.0210535	0.00795255	0.980901	0.011146	0.0	0.0133218	0.0115312	0.989303	0.485933	11427598.0	1019324.0	0.00946924	0.0	44085779.0	477694.0	5442510745.0	5429721620.0	53886245.0	53759620.0	8580057.0	8995688.0	514291.0	44177217.0	102316679.0	0.0	100836401.0	1246904.0	104817416.0	1581545.0	2500737.0	6450855.0	6809464.0	0.0	107645865.0	107645865.0	17575745.0	107633861.0	0.0	107645865.0	1434035.0	10872232365.0	53656188.0	120183956.0	108756358.0	0.0	101.0	20360.0	0.0	6268.0	0.529952	0.548673	0.314368	0.410879	0.25	0.811594	1.29806	1.60788	1.00022	0.269943	0.267394
RGP_800_3_3	0.991338	1.0	0.0	0.0	0.00204343	0.99356	0.989116	0.00182555	0.00226228	0.939913	0.925749	0.948126	0.0212012	0.0120695	0.969327	0.0186034	0.959902	0.0188563	0.00760913	0.978758	0.0136329	0.0	0.0223051	0.0144693	0.987123	0.434465	33732120.0	3427153.0	0.0116727	0.0	124191782.0	1624203.0	14860217264.0	14793754416.0	147130864.0	146472816.0	27128009.0	33467670.0	1823354.0	124511618.0	278373257.0	0.0	271803252.0	3543636.0	284598018.0	5462026.0	6224761.0	19023021.0	21800428.0	0.0	293603680.0	293603680.0	60595679.0	293570461.0	0.0	293603680.0	6548872.0	29653971680.0	146125377.0	329901200.0	296169080.0	0.0	101.0	22790.0	0.0	9829.0	0.493738	0.485704	0.307876	0.392919	0.22314	0.756757	3.11567	3.4909	0.933272	0.222155	0.221204
