Sample	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Expression_Profiling_Efficiency	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Genes_Detected	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-rRNA_Rate	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
RGP_800_3_2	0.931694	18495	0.0237346	93.72	21888649.0	60.641686685226134	50.0	101.0	9.090909090909092	49472748.0
RGP_94_3_2	0.819264	21250	0.00542483	78.64	37577778.0	72.13952940126231	55.0	101.0	27.27272727272727	128899033.0
RGP_94_4_2	0.799008	21321	0.00440407	79.66	37721106.0	75.13992819906906	53.0	101.0	18.181818181818183	120140658.0
SRPK3_EM__1	0.945216	18582	0.0232441	95.04	31384063.0	55.66532759185434	50.0	101.0	9.090909090909092	69186894.0
SRPK3_JAP_1	0.95236	19027	0.0176378	94.9	32313097.0	56.52361729978716	49.0	101.0	9.090909090909092	71164528.0
SRPK3_USA_1	0.912265	23354	0.0288586	92.46	75067394.0	74.69552992639237	49.0	101.0	9.090909090909092	174010408.0
SWE_36223_1	0.884271	21670	0.00639244	89.39	54887610.0	42.00738790043275	50.0	101.0	0.0	134171081.0
SWE_36326_1	0.903744	21886	0.00526462	91.9	57270830.0	40.28956363627586	49.0	101.0	0.0	132718788.0
T1244	0.874977	23553	0.0113067	92.39	31522255.0	45.22808914548919	49.0	76.0	27.27272727272727	70781407.0
T238	0.90972	21507	0.0132016	91.73	39121330.0	67.8546349251447	50.0	76.0	36.36363636363637	88142930.0
T757	0.831648	24207	0.0191945	92.22	28387363.0	64.07065700497371	48.0	76.0	36.36363636363637	64407854.0
T850	0.867143	22861	0.0176758	92.3	29858555.0	49.363130340646435	49.0	76.0	27.27272727272727	67224982.0
T892	0.896475	21930	0.0116834	91.59	29346412.0	43.12048173458466	49.0	76.0	27.27272727272727	66613144.0
