Sample	Top over-represented sequence	Sum of remaining over-represented sequences
OUN_HK047_0116_R1	0.10506818251698716	0.0
OUN_HK079_001_R1	0.1025862162112156	0.0
OUN_HK080_001_R1	0.0	0.0
OUN_HK081_001_R1	0.11431750493706866	0.0
OUN_HK112_001_R1	0.0	0.0
OUN_HK116_001_R1	0.0	0.0
OUN_HK124_001_R1	0.0	0.0
OUN_HK137_001_R1	0.0	0.0
RGP_248_3_T1	0.0	0.0
RGP_273_3_R1	0.0	0.0
RGP_54_3_2	0.12396951557610875	0.0
RGP_56_3_3	0.0	0.0
RGP_7_1_2	0.0	0.0
RGP_7_2_2	0.0	0.0
RGP_7_3_2	0.0	0.0
RGP_7_4_2	0.0	0.0
RGP_7_5_2	0.0	0.0
RGP_800_3_2	0.11294905227419345	0.0
RGP_94_3_2	3.074753865686487	7.907528677891635
RGP_94_4_2	2.111097144149152	5.880372321583255
RP-1418_BEG_1111-1	0.2773223954007236	0.0
RP-1418_BEG_1435-01	0.0	0.0
RP-1512_HK060-0154	0.5290063089139904	0.10890607677112163
RP-1903_HK-006	0.0	0.0
RP-1903_HK-010	0.0	0.0
RP-1903_HK-015	0.0	0.0
RP-1903_HK-022	0.0	0.0
RP-1903_HK-025	0.0	0.0
RP-1903_HK-032	0.10755408110845573	0.0
RP-1903_HK-035	0.0	0.0
RP-1903_HK-047	0.0	0.0
RP-1903_HK-061	0.0	0.0
RP-1903_HK-070	0.25345362586203724	0.0
RP-1903_HK-071-001	0.0	0.0
RP-1903_HK-071-004	0.0	0.0
RP-1903_HK-073	0.0	0.0
RP-1903_HK-075	0.0	0.0
RP-1903_HK-081	0.0	0.0
RP-1903_HK-085	0.0	0.0
RP-1903_HK-087	0.0	0.0
RP-1903_HK-095	0.0	0.0
RP-1903_HK-100	0.0	0.0
RP-1903_HK-104	0.2674848312344373	0.0
RP-1903_HK-107	0.0	0.0
RP-1903_HK-108	0.0	0.0
RP-1903_HK-114	0.0	0.0
RP-1903_HK-115	0.0	0.0
RP-1903_HK-116	0.0	0.0
RP-1903_HK-119	0.0	0.0
RP-1903_HK-124	0.0	0.0
RP-1903_HK-126	0.0	0.0
RP-1903_HK-127	0.0	0.0
RP-1903_HK-131	0.0	0.0
RP-1903_HK-133	0.38993792531925603	0.0
RP-1903_HK-134	0.0	0.0
RP-1903_HK-139	0.0	0.0
RP-2034_RGP_552_3	0.0	0.0
RP-2034_RGP_554_3	0.18947211371433173	0.11845341128273909
SRPK3_EM__1	0.166809049124246	0.0
SRPK3_JAP_1	0.16049568965032693	0.10441297383437995
SRPK3_USA_1	0.0	0.0
SWE_36223_1	0.2351781007115833	0.10615402286279557
SWE_36326_1	0.1376866099771797	0.0
T1244	0.0	0.0
T238	0.0	0.0
T757	0.0	0.0
T850	0.0	0.0
T892	0.0	0.0
TOP_MAAC031_F_Muscle1	0.6942470670274804	0.0
UC223-1RNA	0.0	0.0
UC305-1M	0.0	0.0
UC316-1M	0.0	0.0
UC368-1M	0.0	0.0
UC393-1M	0.0	0.0
UC84-1RNA	0.0	0.0
UWA_FAM7_PT_D16-1243_2	0.15623214281490708	0.10311535956704312
VCGS_DLS_FAM1_1_R1	0.0	0.0
VCGS_FAM11_32_2	0.0	0.0
VCGS_FAM12_36_2	0.2902452837512655	0.0
VCGS_FAM147_459_2	0.0	0.0
VCGS_FAM148_462_2	0.0	0.0
VCGS_FAM149_465_2	0.0	0.0
VCGS_FAM150_468_2	0.0	0.0
VCGS_FAM1_1_2	0.12571356291824837	0.0
VCGS_FAM22_69_2	0.0	0.0
VCGS_FAM26_81_2	0.0	0.0
VCGS_FAM27_84_2	0.12193517937037805	0.0
VCGS_FAM29_90_R1	0.16526533166774796	0.0
VCGS_FAM2_4_2	0.9681497213421107	0.2515095985871042
VCGS_FAM31_97_2	0.26751265300293986	0.10044418729171611
VCGS_FAM39_123_R1	0.0	0.0
VCGS_FAM3_7_2	0.0	0.0
VCGS_FAM41_129_2	0.19225017079940576	0.0
VCGS_FAM42_132_2	0.11946586412317564	0.0
VCGS_FAM49_153_R1	0.0	0.0
VCGS_FAM4_13_2	0.0	0.0
VCGS_FAM52_162_3	0.0	0.0
VCGS_FAM58_181_R1	0.0	0.0
VCGS_FAM61_190_R1	0.0	0.0
VCGS_FAM67_209_R1	0.10269012542648184	0.0
VCGS_FAM73_227_2	0.0	0.0
VCGS_FAM84_260_R1	0.0	0.0
VIL_17_097	0.11277251975101216	0.0
VIL_17_098	0.1034292574513079	0.0
VIL_17_099	0.13367960459356568	0.10054662187563815
VIL_17_105	0.10434343189543878	0.0
VIL_17_106	0.14509007075342648	0.0
VIL_17_107	0.11784850047796235	0.11574455589358708
VIL_17_110	0.0	0.0
VIL_17_111	0.16154625604849995	0.10774909741641667
VIL_17_120	0.10890854904468236	0.0
VIL_17_121	0.11704643604238978	0.11320516752465377
VIL_17_141	0.0	0.0
VIL_17_150	0.11411434923698628	0.11179886590069664
VIL_17_151	0.10357789830637826	0.10217652354902937
VIL_17_152	0.1404771838449612	0.0
VIL_17_163	0.24572443896107846	0.3371668539255471
VIL_17_164	0.12020896382805618	0.20626612562066388
VIL_18_045	0.10466319465355413	0.0
VIL_18_046	0.11186750227699047	0.0
VIL_18_061	0.10524612027617752	0.0
VIL_18_120	0.0	0.0
