Sample	Exonic	Intronic	Intergenic
VCGS_FAM39_123	0.936561	0.0279977	0.0255784
VCGS_FAM3_7_2	0.934926	0.0379682	0.0124023
VCGS_FAM41_129_2	0.902381	0.0501895	0.0299488
VCGS_FAM42_132_2	0.940001	0.0290684	0.0180669
VCGS_FAM49_153	0.940321	0.029194	0.0207463
VCGS_FAM4_13_2	0.897951	0.0599216	0.0219728
VCGS_FAM52_162_3	0.946417	0.0264866	0.0135339
VCGS_FAM58_181	0.951671	0.0228005	0.0141613
VCGS_FAM61_190	0.945246	0.027093	0.0174141
VCGS_FAM67_209	0.947075	0.0244851	0.0178924
VCGS_FAM73_227_2	0.933271	0.0380618	0.0127615
VCGS_FAM84_260	0.94939	0.0252508	0.014923
