Sample	End 1 Sense	End 1 Antisense	End 2 Sense	End 2 Antisense
B16-48_1_1	1989526.0	98007237.0	98173262.0	1903997.0
BB0280_CH_AffF_2	385977.0	27790605.0	27966098.0	349750.0
BEG_1025-1_T999	658361.0	56189948.0	55262119.0	612073.0
BEG_1078-1_T1071	929863.0	74992889.0	73890419.0	866837.0
BEG_1111-1_T1105	631756.0	54094402.0	54145938.0	604602.0
BEG_1230-1_T1227	440328.0	33649893.0	33310798.0	420454.0
BEG_14-4_T65	650099.0	50130167.0	49561812.0	604288.0
BEG_1435-01_T1370	585565.0	55653738.0	55705130.0	561856.0
BEG_1438-1_T1339	732904.0	57457648.0	56599400.0	677778.0
BEG_851-1_T840	1097776.0	61190896.0	60585985.0	990377.0
BEG_887-1_T1240	867773.0	59109385.0	58267563.0	804214.0
BEG_916-1_T916	657354.0	53960875.0	53394379.0	607218.0
BON_B09-27-1_1	447121.0	24409653.0	24467224.0	427198.0
BON_B09-8_1	758362.0	50080776.0	49849821.0	727702.0
BON_B12-33-2_1	370467.0	25260809.0	25250172.0	371981.0
BON_B12-74-1_1	461815.0	24676201.0	24674788.0	440590.0
BON_B12-76-1_2	657647.0	33253799.0	33167681.0	627804.0
BON_B13-55_1_2	1539278.0	84340570.0	84354679.0	1502784.0
BON_B14-163-1_2	500535.0	26877678.0	26747988.0	496286.0
BON_B14-20_1	359524.0	20375874.0	20299803.0	344635.0
BON_B14-60-1_2	806875.0	38785690.0	39078150.0	755507.0
BON_B14-71-2_1	522943.0	23774561.0	23782056.0	500741.0
BON_B14-75-1_1	445510.0	22723411.0	22686702.0	439502.0
BON_B15-118_1	611873.0	35035963.0	34809633.0	602397.0
BON_B15-76-2_2	675237.0	36119566.0	36099680.0	658087.0
BON_B16-19_1	406635.0	22860061.0	22905669.0	383662.0
BON_B16-22_1	308243.0	21532605.0	21511046.0	296758.0
BON_B16-53-1_1	2503149.0	85981465.0	86794479.0	2368891.0
BON_B16-75-1_2	619392.0	36277010.0	36196014.0	602804.0
BON_B16_30_1_1	1237219.0	68168636.0	68492343.0	1182584.0
BON_B16_80_1_1	1407096.0	51178771.0	51529142.0	1330108.0
BON_B17-23_1	1944639.0	102595490.0	102899287.0	1789061.0
BON_B18-24_1	552651.0	34779729.0	34887695.0	520898.0
BON_B18-25_1	564952.0	37273037.0	37404699.0	549180.0
BON_B18-54_1	743858.0	39282712.0	39370458.0	700949.0
BON_B19-57_1	870090.0	51570646.0	51340052.0	820559.0
BON_UC219-1_1	388913.0	21931135.0	21911832.0	385937.0
BON_UC473_1	453678.0	24019360.0	23958036.0	453541.0
CLA_143BN_BB_2	31648754.0	31311790.0	31494617.0	31172062.0
CLA_179CI_GG_2	12086943.0	11930884.0	12013700.0	11820494.0
CLA_180CJ_DP_2	41081397.0	41416990.0	41904701.0	40339264.0
CLA_214DF_AB_2	667264.0	31431902.0	31646978.0	642282.0
CLA_329FK_RR_2	475904.0	27423138.0	27480282.0	448089.0
CLA_338FT_DM_2	483602.0	25673691.0	25752134.0	450076.0
CLA_62R_CaM_3	513594.0	30299292.0	30328566.0	475095.0
CLA_79Z_CP_2	11821845.0	11751328.0	11777963.0	11586943.0
HK018_0047_2	628634.0	39183046.0	39150418.0	590042.0
HK060-0154	641578.0	48020722.0	47788799.0	630368.0
HK069-0177_2	557895.0	37357087.0	37183712.0	541576.0
HK072-001_2	820853.0	56502060.0	56358722.0	782479.0
ICCV_458_10CC06258_02	599006.0	49076773.0	48720883.0	596778.0
INMR_GB_408	692626.0	37683597.0	37759285.0	660248.0
INMR_GI_456	484515.0	37342849.0	37304249.0	468323.0
INMR_HW_389	1650019.0	89512373.0	89526350.0	1588849.0
INMR_HZ_401	1379695.0	94871022.0	94926516.0	1327364.0
INMR_IG_561	1603966.0	94558911.0	94520487.0	1533454.0
INMR_IK_581	1685047.0	86189364.0	86400855.0	1608537.0
K1157-1-4	1078808.0	56895879.0	57118791.0	974291.0
LIA_EDW01_1	449203.0	22069702.0	22045171.0	425158.0
LIA_MAS02_2	1650759.0	67798663.0	67373445.0	1488624.0
LIA_TIS03_2	377723.0	20474208.0	20477567.0	365556.0
MAN_1001_01_M1_D1	867366.0	62903466.0	63149681.0	818144.0
MAN_1438-01-M1	740180.0	70535221.0	70633474.0	726493.0
MBEL028_001_3	348309.0	28720559.0	28659589.0	329590.0
MBEL028_002_1	423374.0	31265680.0	31262075.0	392923.0
MBRU030_2	325628.0	28270254.0	28284641.0	306485.0
MCOP008_001_2	418606.0	32327868.0	32198435.0	399637.0
MESP021_001_2	403123.0	32397957.0	32376175.0	369097.0
MESP039_2	509634.0	45894335.0	45695129.0	485038.0
MGLA003_001_2	381314.0	31236979.0	31064062.0	363099.0
MMAD002_001_2	280718.0	24725497.0	24689982.0	263790.0
MTEH041_001_2	475642.0	32738866.0	32688479.0	452606.0
M_0146-01-H1	29238431.0	29428813.0	29450845.0	29120511.0
NH11-441	21064480.0	21008916.0	21095845.0	20955504.0
NH12-1413	21897452.0	21815924.0	21880530.0	21797709.0
OUN_HK018_0047	1428638.0	83196512.0	83138636.0	1299129.0
OUN_HK047_0116	1077081.0	74863531.0	74958587.0	991922.0
OUN_HK079_001	952517.0	72642880.0	72832852.0	866721.0
OUN_HK080_001	1110303.0	76148195.0	76169659.0	1056946.0
OUN_HK081_001	1238662.0	88286958.0	88228211.0	1162362.0
OUN_HK112_001	1327350.0	81394979.0	81856436.0	1230189.0
OUN_HK116_001	1087356.0	80700196.0	80435943.0	1022239.0
OUN_HK124_001	537002.0	43228239.0	43208984.0	498996.0
OUN_HK137_001	1030977.0	71931236.0	72132630.0	955320.0
RGP_248_3	1167054.0	45575246.0	45846047.0	1103584.0
RGP_273_3	617797.0	52779406.0	52849888.0	575857.0
RGP_54_3_2	635398.0	48678961.0	48484468.0	587591.0
RGP_552_3	841076.0	45019094.0	45036003.0	798303.0
RGP_56_3_3	629738.0	34614354.0	34573151.0	564609.0
RGP_800_3_2	300957.0	19388594.0	19360009.0	285526.0
RGP_800_3_3	1823354.0	124191782.0	124511618.0	1624203.0
T1244	14142001.0	14135503.0	14211025.0	13979982.0
T238	17535196.0	17507413.0	17538460.0	17388771.0
T850	13266504.0	13108959.0	13156431.0	13108922.0
T892	13511522.0	13540124.0	13533113.0	13385964.0
TOP_MAAC031_F_Muscle1	42108434.0	42006667.0	41533672.0	40777762.0
UC223-1RNA	14205410.0	14321093.0	14304226.0	14454755.0
UC305-1M	24878894.0	24974922.0	25056420.0	24515844.0
UC316-1M	21119050.0	21089172.0	21164628.0	20814257.0
UC368-1M	28881238.0	28796799.0	28907130.0	28545522.0
UC393-1M	24858365.0	25156562.0	25177526.0	24586525.0
UC84-1RNA	11311942.0	11391484.0	11363091.0	11351312.0
UWA_FAM7_PT_D16-1243_2	1667085.0	66602237.0	66143919.0	1528440.0
