Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
B14-78-1-U	32615602.0	32381042.0	1282072.0	5122832.0	2679504.0
B15-15_1_1	8673630.0	131632033.0	568598.0	7273573.0	3062258.0
B15-28_1_1	8735845.0	135589084.0	648736.0	8053193.0	4174192.0
B16-48_1_1	6831954.0	103507154.0	495617.0	6719825.0	2919742.0
BB0280_CH_AffF_2	2192004.0	29906197.0	104345.0	1277245.0	419646.0
BEG_1025-1_T999	4153772.0	56938669.0	279923.0	3418376.0	1979292.0
BEG_1078-1_T1071	5185103.0	76796761.0	335756.0	5136244.0	2086045.0
BEG_1111-1_T1105	3874860.0	55614215.0	189804.0	3499045.0	877431.0
BEG_1230-1_T1227	2307242.0	34616560.0	108473.0	2329263.0	1208803.0
BEG_14-4_T65	3706220.0	50898635.0	164349.0	3398028.0	1778902.0
BEG_1435-01_T1370	3829476.0	56562791.0	147429.0	3575722.0	838652.0
BEG_1438-1_T1339	3986897.0	58451314.0	218631.0	3308593.0	1829675.0
BEG_851-1_T840	4753795.0	63716576.0	191586.0	5204041.0	2394116.0
BEG_887-1_T1240	4574401.0	59795593.0	256287.0	5861817.0	2364813.0
BEG_916-1_T916	3610694.0	54657830.0	154701.0	3354905.0	1600057.0
BON_B09-27-1_1	1913219.0	25820922.0	125173.0	1501619.0	1366132.0
BON_B09-8_1	3872035.0	52412789.0	232495.0	3406847.0	1062530.0
BON_B12-33-2_1	1787806.0	26272515.0	112767.0	1453032.0	1413009.0
BON_B12-74-1_1	1948243.0	26299115.0	122348.0	1530806.0	1364344.0
BON_B12-76-1_2	2395491.0	35081676.0	160227.0	1913717.0	2283756.0
BON_B13-55_1_2	5753644.0	87714520.0	353875.0	6118493.0	2376754.0
BON_B14-163-1_2	1959507.0	28680731.0	100346.0	1451557.0	729122.0
BON_B14-20_1	1421984.0	21188907.0	103727.0	1443424.0	1222987.0
BON_B14-60-1_2	2610220.0	41858309.0	155410.0	2232894.0	1587157.0
BON_B14-71-2_1	1689464.0	25415072.0	92442.0	1325841.0	1309361.0
BON_B14-75-1_1	1570477.0	24591090.0	65006.0	1472328.0	1270378.0
BON_B15-118_1	2625706.0	37766363.0	155270.0	1919999.0	817646.0
BON_B15-76-2_2	2796605.0	39338215.0	123513.0	1962679.0	966849.0
BON_B16-19_1	1628344.0	23901460.0	119082.0	1653428.0	2134025.0
BON_B16-22_1	1879445.0	23263391.0	97620.0	1229718.0	1036652.0
BON_B16-38	3033002.0	39014861.0	197453.0	2501567.0	1408206.0
BON_B16-53-1_1	3987323.0	85435362.0	693761.0	9589951.0	4151866.0
BON_B16-75-1_2	2503254.0	38542920.0	148787.0	1994150.0	701988.0
BON_B16_30_1_1	5174026.0	72145998.0	576183.0	4723618.0	2965790.0
BON_B16_80_1_1	3528434.0	53030883.0	506597.0	4116990.0	1660878.0
BON_B17-23_1	7777878.0	107429774.0	460837.0	6605263.0	2345864.0
BON_B18-24_1	2584562.0	36307360.0	137781.0	2051171.0	591106.0
BON_B18-25_1	2703218.0	37859051.0	171280.0	2145671.0	813358.0
BON_B18-54_1	2646475.0	40294438.0	195073.0	2296048.0	899171.0
BON_B18-70_1	4329013.0	60698585.0	224844.0	3769297.0	762494.0
BON_B19-57_1	3755954.0	53453014.0	221190.0	3299852.0	953376.0
BON_B20-13_1	4598438.0	64270848.0	258010.0	3505561.0	942828.0
BON_UC219-1_1	1651993.0	23526366.0	83811.0	1176032.0	1354245.0
BON_UC473_1	1631187.0	25646464.0	103865.0	1356788.0	1484290.0
CLA_143BN_BB_2	33933765.0	33313856.0	1227714.0	7483140.0	4453467.0
CLA_179CI_GG_2	13103394.0	12336272.0	660351.0	2468360.0	944474.0
CLA_180CJ_DP_2	40538453.0	44767844.0	1671380.0	10723719.0	8623969.0
CLA_214DF_AB_2	2270084.0	34185361.0	98155.0	1864325.0	589570.0
CLA_329FK_RR_2	2189383.0	29490990.0	93686.0	1546652.0	482752.0
CLA_338FT_DM_2	1944360.0	27489333.0	96002.0	1411636.0	505305.0
CLA_388HV_XX_1	3580642.0	3732966.0	142319.0	688463.0	258528.0
CLA_62R_CaM_3	2176428.0	31525941.0	107863.0	1879220.0	551417.0
CLA_79Z_CP_2	12745259.0	12651928.0	494672.0	2273458.0	837370.0
HK018_0047_2	2734475.0	41045085.0	150197.0	2695475.0	941365.0
HK060-0154	3291038.0	49595826.0	228038.0	2806232.0	1954475.0
HK069-0177_2	2629257.0	38567842.0	217239.0	2046624.0	829207.0
HK072-001_2	3902529.0	58666568.0	352886.0	3708335.0	1207565.0
ICCV_458_10CC06258_02	3441464.0	51249424.0	172229.0	3315763.0	1515212.0
INMR_GB_408	2716111.0	39593698.0	141514.0	2601728.0	685441.0
INMR_GI_456	2857087.0	37787898.0	122462.0	2692350.0	857167.0
INMR_HW_389	6269809.0	93093566.0	339308.0	6584100.0	1597971.0
INMR_HZ_401	7223911.0	99208386.0	346859.0	6583108.0	1651907.0
INMR_IG_561	7048617.0	99587950.0	343682.0	6783448.0	1517266.0
INMR_IK_581	5896256.0	90351950.0	209817.0	7009598.0	1480387.0
K1157-1-4	4587002.0	59611219.0	274306.0	5017303.0	997590.0
LIA_EDW01_1	1727436.0	23391504.0	76306.0	1743336.0	602075.0
LIA_MAS02_2	5279758.0	71452567.0	278168.0	6872031.0	2030826.0
LIA_TIS03_2	1557495.0	21767950.0	47648.0	1517170.0	479305.0
MAN_1001_01_M1_D1	4751264.0	66298693.0	257168.0	3912517.0	997397.0
MAN_1438-01-M1	4350467.0	73259437.0	158256.0	4804319.0	971547.0
MBEL028_001_3	2271955.0	30018040.0	121439.0	1345221.0	434830.0
MBEL028_002_1	2381527.0	32395750.0	165420.0	1546766.0	520316.0
MBRU030_2	2164164.0	29619251.0	109832.0	1262341.0	413870.0
MCOP008_001_2	2338999.0	33299694.0	168017.0	1706256.0	578208.0
MESP021_001_2	2573221.0	33627305.0	163088.0	1531679.0	586080.0
MESP039_2	3397356.0	47585843.0	179932.0	2289030.0	902010.0
MGLA003_001_2	2302368.0	32530403.0	160690.0	1789479.0	574452.0
MMAD002_001_2	1992814.0	26041880.0	110621.0	1232449.0	563426.0
MTEH041_001_2	2357897.0	34786382.0	150892.0	1539841.0	976992.0
M_0146-01-H1	28700124.0	31768836.0	1330813.0	6056721.0	2972639.0
NH11-441	22115391.0	22972579.0	787943.0	2842844.0	488107.0
NH12-1413	22998778.0	23859420.0	816366.0	3263379.0	483527.0
OUN_HK018_0047	5920127.0	85260153.0	320934.0	7232472.0	1400063.0
OUN_HK047_0116	5593201.0	76930265.0	338005.0	5112773.0	1319196.0
OUN_HK079_001	5141000.0	73712692.0	246445.0	5244649.0	944468.0
OUN_HK080_001	5507745.0	76864212.0	321051.0	5825541.0	1406914.0
OUN_HK081_001	6409768.0	90749245.0	333944.0	6398708.0	1470094.0
OUN_HK112_001	6340634.0	85905347.0	297893.0	6195476.0	1288353.0
OUN_HK116_001	5832384.0	82867890.0	329689.0	5315458.0	2282330.0
OUN_HK124_001	3353326.0	44546701.0	151654.0	2765971.0	696189.0
OUN_HK137_001	5463723.0	75483459.0	299538.0	4041480.0	1457359.0
RGP_1214_3_M1	3688470.0	46831673.0	180355.0	2735074.0	723742.0
RGP_248_3	3239784.0	47042632.0	357800.0	3542697.0	1338210.0
RGP_273_3	3839576.0	54687164.0	212358.0	3182634.0	812889.0
RGP_54_3_2	3967261.0	50676193.0	195236.0	3366527.0	1194135.0
RGP_552_3	2935390.0	45765975.0	235445.0	3988392.0	2080250.0
RGP_56_3_3	2484152.0	35813597.0	160502.0	2695097.0	792609.0
RGP_800_3_2	1554846.0	20193295.0	140508.0	967917.0	576882.0
RGP_800_3_3	9916393.0	126640661.0	551794.0	8470981.0	1963461.0
SRPK3_EM__1	2249869.0	29011473.0	122721.0	1287746.0	469954.0
SRPK3_JAP_1	2195705.0	30015019.0	102373.0	1407136.0	451585.0
SRPK3_USA_1	5243812.0	69465342.0	358240.0	3884955.0	2939653.0
T1244	14876401.0	16079932.0	565922.0	2087200.0	634978.0
T238	19236944.0	19249122.0	635264.0	2927906.0	811484.0
T850	14163575.0	15154465.0	540515.0	1978299.0	682280.0
T892	14310154.0	14504554.0	531704.0	2146654.0	762509.0
TOP_MAAC031_F_Muscle1	43491375.0	43755439.0	1819512.0	8424330.0	8478374.0
UC223-1RNA	15261247.0	15735000.0	604183.0	2385699.0	1150570.0
UC305-1M	26239307.0	25719620.0	964254.0	5287493.0	2400686.0
UC316-1M	22526775.0	23487303.0	870026.0	2698574.0	2091738.0
UC368-1M	29549841.0	30818096.0	1091604.0	5984352.0	2901105.0
UC393-1M	27306249.0	26858628.0	911707.0	4736049.0	2455906.0
UC84-1RNA	12292295.0	11936194.0	441459.0	1806985.0	645728.0
UWA_FAM7_PT_D16-1243_2	5229182.0	70494305.0	257570.0	7224097.0	2172246.0
