Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
251DW_SD_M1	91.71	29143704.0	59.9166153344316	49.0	76.0	36.36363636363637	66380608.0
252DX_DC_M1	91.17	32597897.0	59.35601874785583	50.0	76.0	36.36363636363637	74463728.0
253DY_HA_M1	92.5	27971616.0	46.54314447714144	49.0	76.0	27.27272727272727	63155378.0
254DZ_WP_M1	91.6	62789929.0	75.32905967380918	50.0	76.0	27.27272727272727	141914019.0
255EA_GC_M1	91.88	28709084.0	67.64782927261834	49.0	76.0	36.36363636363637	65081125.0
26I_SK_M1	91.67	36228353.0	68.39813760241948	50.0	76.0	36.36363636363637	81894785.0
361AL_CC_M1	85.79	51208696.0	49.7619268366304	51.0	76.0	9.090909090909092	124650481.0
373HQ_BTG_M1	90.79	85523268.0	52.762103371963185	48.0	76.0	18.181818181818183	195371799.0
37L_NA_M1	79.35	27626381.0	25.45890776983633	52.0	76.0	9.090909090909092	78210925.0
41M_MW_M1	92.27	53242872.0	58.87584961775007	51.0	76.0	27.27272727272727	119325117.0
431-1_A_3	90.17	41335282.0	38.47447030691702	49.0	101.0	0.0	101326828.0
431-2_A_2	91.34	33734119.0	33.35192491818225	48.0	101.0	0.0	79683636.0
432-3_A_2	92.89	35878473.0	34.85933321061462	49.0	101.0	0.0	82294283.0
437-2_A_2	93.5	39456345.0	37.29239851924264	48.0	101.0	0.0	89994041.0
437-3_A_2	93.01	38618513.0	36.94344549031072	48.0	101.0	0.0	88503194.0
447-3_A_3	90.39	46869278.0	39.56782652310743	49.0	101.0	9.090909090909092	113037041.0
46N_RL_M1	91.38	70622488.0	70.4689344253903	50.0	76.0	27.27272727272727	159870003.0
49O_NM_M1			61.46084312934299	50.0	76.0	36.36363636363637	651963205.0
65T_CR_M1	91.0	60799065.0	77.574567416615	50.0	76.0	27.27272727272727	138946108.0
81AB_MM_M1	86.76	55705616.0	49.49051264172919	50.0	76.0	9.090909090909092	134241919.0
92AI_SM_R1			64.29238435735206	50.0	101.0	9.090909090909092	109257491.0
9C_DH_M1	91.05	65625171.0	79.01256792520866	49.0	76.0	27.27272727272727	150082004.0
B09-24-1RNA_UNKNOWN	86.94	138419590.0					
B09-24.1RNA_UNKNOWN			51.5039251989475	49.0	76.0	27.27272727272727	328281772.0
B09-25-1RNA	89.45	27047585.0					
B09-25.1RNA			67.09120311321135	49.0	76.0	18.181818181818183	63142120.0
B09-40-1M	88.0	50098819.0					
B09-40.1M			58.02208330275223	50.0	76.0	18.181818181818183	119457132.0
B10-02-1RNA	88.4	79810970.0					
B10-02.1RNA			54.6676134135662	49.0	76.0	18.181818181818183	186658295.0
B11-11-1M	91.68	42867615.0					
B11-11.1M			59.54413323884625	49.0	76.0	27.27272727272727	96299482.0
B11-25-1M	90.9	80126846.0					
B11-25.1M			59.77105932423562	48.0	76.0	18.181818181818183	184313003.0
B11-48-1M	89.82	52437580.0					
B11-48.1M			60.80138863223709	50.0	76.0	18.181818181818183	121394595.0
B12-21-1M	87.89	56824870.0					
B12-21.1M			61.840694398512056	50.0	76.0	18.181818181818183	135530722.0
B12-30RNA	89.75	136828178.0	81.43304580925313	50.0	76.0	27.27272727272727	315671801.0
B13-07-1M	89.18	108123220.0					
B13-07-1RNA	90.58	25198639.0					
B13-07.1M			57.62847150873582	50.0	76.0	18.181818181818183	251044974.0
B13-07.1RNA			60.5518829177559	49.0	76.0	18.181818181818183	57741994.0
B13-15RNA	91.49	37821183.0	55.72817154695189	49.0	76.0	18.181818181818183	85486988.0
B13-52-1M	90.84	49063154.0					
B13-52.1M			59.40839574686477	50.0	76.0	18.181818181818183	111794701.0
B14-07RNA	91.37	34122273.0	65.28079812260157	50.0	76.0	18.181818181818183	77320805.0
B14-117-1RNA-2	90.32	30064307.0					
B14-117.1RNA.2			60.55413179686186	49.0	76.0	18.181818181818183	69570401.0
B14-130-1M	89.34	54847930.0					
B14-130.1M			58.575227786299145	49.0	76.0	18.181818181818183	128671236.0
B14-48-1RNA	90.09	24197998.0					
B14-48.1RNA			48.61071852416463	49.0	76.0	9.090909090909092	56183688.0
B14-70-1RNA	91.62	28359086.0					
B14-70.1RNA			54.02821101845877	50.0	76.0	18.181818181818183	64314098.0
B14-78-1-U	90.84	66278716.0					
B14-78.1-U			57.49403979220649	48.0	76.0	18.181818181818183	151740376.0
B15-15_1_1	93.54	140874261.0	70.43389780253412	49.0	101.0	9.090909090909092	315687983.0
B15-25_1_2	75.34	7948541.0	89.78111994665626	46.0	101.0	9.090909090909092	27076085.0
B15-28_1_1	92.74	144973665.0	67.49754507076219	51.0	101.0	9.090909090909092	330742819.0
B16-47_1_2	87.36	24137698.0	90.13640413415423	46.0	101.0	9.090909090909092	61947966.0
B16-48_1_1	92.48	110834725.0	70.44171016703727	50.0	101.0	9.090909090909092	254273105.0
BB0280_CH_AffF_2	95.32	32202546.0	42.03558416815355	49.0	101.0	0.0	70513424.0
BEG_1025-1_T999_R1	92.62	61372364.0	77.46686399053905	50.0	101.0	9.090909090909092	139412746.0
BEG_1078-1_T1071_R1	92.88	82317620.0	83.23239790755325	50.0	101.0	9.090909090909092	185345183.0
BEG_1230-1_T1227_R1	92.0	37032275.0	60.273346689969195	49.0	101.0	9.090909090909092	84799930.0
BEG_14-4_T65_R1	91.52	54769204.0	61.49924833794282	50.0	101.0	9.090909090909092	125772756.0
BEG_1438-1_T1339_R1	92.86	62656842.0	62.63014104739683	50.0	101.0	9.090909090909092	141239050.0
BEG_851-1_T840_R1	91.14	68661957.0	68.3136392343254	48.0	101.0	9.090909090909092	161329555.0
BEG_887-1_T1240_R1	89.84	64626281.0	65.93416815700581	50.0	101.0	9.090909090909092	154148678.0
BEG_916-1_T916_R1	92.73	58423225.0	65.74229209874156	50.0	101.0	9.090909090909092	132514608.0
BON_B09-27-1_1	91.28	27859314.0					
BON_B09-27.1_1			56.49212564327139	50.0	101.0	9.090909090909092	64554548.0
BON_B12-33-2_1	91.53	28173088.0					
BON_B12-33.2_1			56.74091965458108	49.0	101.0	9.090909090909092	65127041.0
BON_B12-71_2_R1	92.25	96106670.0	48.691647624737236	50.0	101.0	0.0	221492581.0
BON_B12-74-1_1	91.37	28369706.0					
BON_B12-74.1_1			57.21060754859329	49.0	101.0	9.090909090909092	65718520.0
BON_B12-76-1_2	91.24	37637394.0					
BON_B12-76.1_2			66.41553174502735	48.0	101.0	9.090909090909092	87749494.0
BON_B13-55_1_2	92.19	93822039.0	70.74970520031677	49.0	101.0	9.090909090909092	215430777.0
BON_B14-163-1_2	94.39	30740584.0					
BON_B14-163.1_2			56.167457042326156	48.0	101.0	9.090909090909092	68282941.0
BON_B14-20_1	90.29	22714618.0	58.150832572999285	48.0	101.0	9.090909090909092	53647333.0
BON_B14-51_1_2	93.95	49288542.0	39.979798884831254	49.0	101.0	0.0	110223752.0
BON_B14-60-1_2	93.98	44623939.0					
BON_B14-60.1_2			64.60124282909953	48.0	101.0	9.090909090909092	99858168.0
BON_B14-71-2_1	91.78	27196978.0					
BON_B14-71.2_1			55.468435706806055	48.0	101.0	9.090909090909092	62562302.0
BON_B14-75-1_1	91.22	26226573.0					
BON_B14-75.1_1			41.67543692237975	48.0	101.0	0.0	61029258.0
BON_B15-118_1	94.69	40547339.0	66.84538983155349	48.0	101.0	9.090909090909092	89973392.0
BON_B15-125_1_2	93.27	69659388.0	51.72665466521328	50.0	101.0	9.090909090909092	157735244.0
BON_B15-26_1_1	95.08	49019979.0	43.482779381963034	49.0	101.0	0.0	107654054.0
BON_B15-76-2_2	94.33	42258333.0					
BON_B15-76.2_2			50.23757836564784	48.0	101.0	9.090909090909092	94017497.0
BON_B15-98_1_2	92.95	54660321.0	49.75934143259691	50.0	101.0	0.0	124012065.0
BON_B16-19_1	87.84	25648886.0	58.13406264812291	50.0	101.0	9.090909090909092	63902679.0
BON_B16-22_1	92.22	25240456.0	45.88607930856627	49.0	101.0	0.0	57827902.0
BON_B16-50_1_2	91.71	46251067.0	39.73648873750416	50.0	101.0	0.0	108114311.0
BON_B16-53-1_1	87.52	90116446.0	79.97291042720585	47.0	101.0	9.090909090909092	223430128.0
BON_B16-57_1_2	93.28	37991985.0	38.216142315218946	49.0	101.0	0.0	86024992.0
BON_B16-75-1_2	94.49	41194961.0					
BON_B16-75.1_2			68.07416419209011	49.0	101.0	9.090909090909092	91340569.0
BON_B16_30_1_1	91.47	77896207.0	65.46957130479481	52.0	101.0	18.181818181818183	181158917.0
BON_B16_80_1_1	91.19	57065914.0	79.32219487451096	49.0	101.0	9.090909090909092	133145601.0
BON_B17-23_1_R1	92.43	115668489.0	90.0447871729705	49.0	101.0	9.090909090909092	264194342.0
BON_B17-28_1_R1	90.85	124144180.0	50.20205480943968	51.0	101.0	9.090909090909092	291876845.0
BON_B18-24_1_R1	93.05	39029703.0	77.78684294050981	48.0	101.0	9.090909090909092	88034181.0
BON_B18-25_1_R1	92.22	40733549.0	82.11480419253772	49.0	101.0	9.090909090909092	92723296.0
BON_B18-54_1_R1	91.7	43135986.0	76.76858831957912	48.0	101.0	9.090909090909092	98753769.0
BON_UC219-1_1	91.61	25262170.0					
BON_UC219.1_1			53.91946204697652	48.0	101.0	9.090909090909092	58430333.0
BON_UC473_1	91.27	27381516.0	56.30042935602928	48.0	101.0	9.090909090909092	63667374.0
CLA_143BN_BB_2	86.06	68475335.0	48.80233922488383	49.0	76.0	9.090909090909092	168060483.0
CLA_179CI_GG_2	89.49	26100017.0	40.043173376483	50.0	76.0	9.090909090909092	62437452.0
CLA_180CJ_DP_2	83.0	86977677.0	50.67962619492351	49.0	76.0	27.27272727272727	220457724.0
CLA_214DF_AB_2	93.89	36553600.0	52.09496831167638	46.0	101.0	9.090909090909092	82007391.0
CLA_329FK_RR_2	94.06	31774059.0	59.68488226845681	48.0	101.0	9.090909090909092	70852247.0
CLA_338FT_DM_2	93.78	29529695.0	58.916362905550265	48.0	101.0	9.090909090909092	65886200.0
CLA_388HV_XX_1	89.68	7455927.0	32.69473314420412	49.0	76.0	9.090909090909092	17660348.0
CLA_62R_CaM_2	90.86	407720.0	24.582360795106737	50.0	76.0	0.0	927594.0
CLA_62R_CaM_3	93.64	33810232.0	71.8672557370384	49.0	101.0	9.090909090909092	75791077.0
CLA_79Z_CP_2	90.04	25891859.0	50.61584709880046	50.0	76.0	18.181818181818183	60614406.0
HK006_0016_R1	93.92	41061307.0	46.054853610509184	49.0	101.0	0.0	91880735.0
HK010_0026_R1	94.28	88692305.0	50.3053930241882	48.0	101.0	18.181818181818183	196488631.0
HK011_0029_R1	90.73	46386576.0	41.53453150785646	50.0	101.0	0.0	109626580.0
HK018_0047_2	92.52	43929757.0	50.00362828147857	49.0	101.0	9.090909090909092	100656454.0
HK024_0065_R1	90.58	52281923.0	43.30757238966779	49.0	101.0	0.0	124333934.0
HK028_0073_R1	92.41	48686330.0	42.8184102234721	49.0	101.0	0.0	111440246.0
HK044_0109_R1	93.08	44338192.0	40.34461454826533	49.0	101.0	0.0	99739925.0
HK069-0177_2	93.66	41414338.0	66.8581905147878	50.0	101.0	9.090909090909092	92939167.0
HK072-001_2	93.23	62921983.0	79.92011394410001	49.0	101.0	9.090909090909092	143205060.0
HK085-001_R1	94.03	84602297.0	54.25718028143448	48.0	101.0	18.181818181818183	188017729.0
HK088-001_2	95.39	42265043.0	36.44495338478845	47.0	101.0	0.0	91937755.0
HK101-001_R1	91.98	100442487.0	47.16386276833535	49.0	101.0	0.0	230898572.0
HK106-001_R1	90.9	45266597.0	41.16150336720516	50.0	101.0	0.0	106598599.0
ICCV_458_10CC06258_02	92.62	54863117.0	67.4214016614687	50.0	101.0	9.090909090909092	125089336.0
INMR_GB_408_R1			60.573035539061316	50.0	101.0	9.090909090909092	98127320.0
INMR_GI_456_R1			70.83420748936858	50.0	101.0	9.090909090909092	94999886.0
INMR_HW_389_R1			86.04530634876362	48.0	101.0	9.090909090909092	228876629.0
INMR_HZ_401_R1			83.0311887530838	49.0	101.0	9.090909090909092	243745357.0
INMR_IG_561_R1			78.27284272100465	49.0	101.0	9.090909090909092	244413623.0
INMR_IK_581_R1			78.2764502251499	49.0	101.0	9.090909090909092	224568828.0
INMR_IV_615_R1			48.526596812239916	48.0	101.0	0.0	172710438.0
K1157-1-4	91.63	64472527.0	55.478185090556686	50.0	101.0	9.090909090909092	150407995.0
LIA_EDW01_1	91.81	25195246.0	46.865160984437345	50.0	101.0	0.0	59377468.0
LIA_MAS02_2	90.58	77010493.0	74.6103811081328	50.0	101.0	9.090909090909092	184911050.0
LIA_TIS03_2	92.5	23373093.0	40.49881025604325	48.0	101.0	0.0	54290460.0
MAN_0063_01_02	92.02	1600202.0	27.462852429736685	50.0	101.0	0.0	3754521.0
MAN_0063_01_03	75.58	262809.0	55.155455344329376	48.0	101.0	9.090909090909092	898628.0
MAN_1001_01_M1_D1	93.42	71307125.0	65.97003360366199	50.0	101.0	9.090909090909092	160265080.0
MAN_1438-01-M1_R1			76.84803905421921	48.0	101.0	9.090909090909092	175611918.0
MBEL028_001_3	95.14	32411434.0	58.70745347509319	50.0	101.0	9.090909090909092	71289243.0
MBEL028_002_1	94.77	34942697.0	67.3785128935126	49.0	101.0	9.090909090909092	77076895.0
MBRU030_2	95.3	31893247.0	43.329052269640734	49.0	101.0	0.0	70119724.0
MCOP008_001_2	94.18	35806710.0	67.96221691229869	50.0	101.0	9.090909090909092	79817400.0
MESP014_2	91.12	30594885.0	37.317570221635	48.0	101.0	0.0	72339112.0
MESP021_001_2	94.83	36363614.0	65.5512405206474	50.0	101.0	9.090909090909092	80190293.0
MESP039_2	94.48	51163131.0	63.48249558653969	50.0	101.0	9.090909090909092	113074104.0
MGLA003_001_2	93.82	34993461.0	67.40288048500753	51.0	101.0	9.090909090909092	78581953.0
MMAD002_001_2	94.38	28145315.0	52.85874913774548	50.0	101.0	9.090909090909092	62498936.0
MTEH041_001_2	94.19	37295171.0	62.15018962022415	49.0	101.0	9.090909090909092	83909406.0
MUN_FAM1_CTRL_01_R1	91.85	44410106.0	74.13027797951271	48.0	101.0	9.090909090909092	101635135.0
MUN_FAM1_CTRL_02_R1			74.32723668509155	50.0	101.0	9.090909090909092	57732901.0
MUN_FAM1_CTRL_03_R1	93.25	36566571.0	64.89266975066262	47.0	101.0	9.090909090909092	82282571.0
MUN_FAM1_CTRL_04_R1	88.05	34251595.0	76.89181341817331	51.0	101.0	9.090909090909092	85536429.0
MUN_FAM2_TOTALMDC1A1_02_R1	93.31	50040317.0	78.45538755303924	48.0	101.0	9.090909090909092	113511407.0
MUN_FAM2_TOTALMDC1A1_03_R1	88.78	41027811.0	62.67155933198196	49.0	101.0	9.090909090909092	100875500.0
MUN_FAM2_TOTALMDC1A1_04_R1	92.31	11758513.0	54.055089907999985	47.0	101.0	9.090909090909092	27647538.0
MUN_FAM2_TOTALMDC1A1_05_R1	93.51	39946028.0	67.91119736589374	48.0	101.0	9.090909090909092	89932926.0
MUN_FAM3_PARTIALMDC1A1_01_R1			87.53359986292843	48.0	101.0	9.090909090909092	291359316.0
MUN_FAM3_PARTIALMDC1A1_02_R1	93.16	19578742.0	50.57174500099635	48.0	101.0	9.090909090909092	44698191.0
MUN_FAM3_PARTIALMDC1A1_03_R1	93.19	35859079.0	67.9550663178804	47.0	101.0	9.090909090909092	81459056.0
MUN_FAM3_PARTIALMDC1A1_05_R1	88.87	11529253.0	64.71276849503748	50.0	101.0	18.181818181818183	29723283.0
MUN_FAM4_ATYPICALMDC1A_01_R1			51.58647664656154	48.0	101.0	9.090909090909092	72071056.0
MUN_FAM4_ATYPICALMDC1A_01_R2			75.57853573343125	49.0	101.0	9.090909090909092	253320118.0
MUN_FAM4_ATYPICALMDC1A_01_R3	91.8	40305337.0	58.46824447946886	49.0	101.0	9.090909090909092	93740536.0
MUN_FAM5_SIBLINGMDC1A_01_R1			56.03348652464892	49.0	101.0	9.090909090909092	71179156.0
MUN_FAM5_SIBLINGMDC1A_01_R2			55.08905732152509	48.0	101.0	9.090909090909092	72223237.0
MUN_FAM5_SIBLINGMDC1A_01_R3			56.7116423633159	48.0	101.0	9.090909090909092	76852257.0
M_0146-01-H1	88.04	61799773.0	51.445498195888675	48.0	76.0	18.181818181818183	146135725.0
NH11-441	92.98	45875913.0	67.82143699512335	50.0	76.0	18.181818181818183	101924037.0
NH12-1413	92.49	47674564.0	65.94685396229917	51.0	76.0	18.181818181818183	106847992.0
NH12-843_Fibroblasts	91.84	21446863.0	28.89421396208533	48.0	101.0	0.0	50169504.0
NH12-843_MyoD_Day5	91.57	42485862.0	40.24498757650261	48.0	101.0	9.090909090909092	100359049.0
OUN_HK018_0047_R1	90.82	91501214.0	62.674323874347806	49.0	101.0	9.090909090909092	214938856.0
OUN_HK047_0116_R1	92.34	82861471.0	81.80893600680696	49.0	101.0	9.090909090909092	189219034.0
OUN_HK079_001_R1	92.48	79100137.0	83.89904068387307	50.0	101.0	9.090909090909092	180842034.0
OUN_HK080_001_R1	91.3	82693008.0	82.84297032473063	50.0	101.0	9.090909090909092	191432296.0
OUN_HK081_001_R1	92.17	97492957.0	82.03984842055247	50.0	101.0	9.090909090909092	223688402.0
OUN_HK112_001_R1	91.96	92543874.0	70.99409308521014	49.0	101.0	9.090909090909092	213569810.0
OUN_HK116_001_R1	91.96	89029963.0	77.0269849983442	50.0	101.0	9.090909090909092	203554945.0
OUN_HK124_001_R1	92.2	48051681.0	65.40560113573434	49.0	101.0	9.090909090909092	109420229.0
OUN_HK137_001_R1	93.1	81246720.0	63.544041702784845	49.0	101.0	9.090909090909092	183630951.0
RGP_248_3	91.15	50640216.0					
RGP_248_3_T1			85.33677008619355	48.0	101.0	9.090909090909092	119218299.0
RGP_273_3_R1	93.05	58739098.0	72.31920584420509	50.0	101.0	9.090909090909092	132602012.0
RGP_54_3_2	92.61	54838690.0	68.31621081287716	51.0	101.0	9.090909090909092	125776889.0
RGP_56_3_3	92.08	38458251.0	70.64710121355091	50.0	101.0	9.090909090909092	89009155.0
RGP_7_1_2	93.64	41755751.0	35.834014402107044	50.0	101.0	0.0	93607363.0
RGP_7_2_2	94.32	41368774.0	35.87930727180624	50.0	101.0	0.0	91573742.0
RGP_7_3_2	92.93	44736538.0	37.64488384262498	50.0	101.0	0.0	101865746.0
RGP_7_4_2	86.86	33637043.0	39.89454590475561	50.0	101.0	0.0	84148718.0
RGP_7_5_2	93.99	41523690.0	34.956420578143124	50.0	101.0	0.0	92600278.0
RGP_800_3_2			60.641686685226134	50.0	101.0	9.090909090909092	49472748.0
RGP_94_3_2	78.64	37577778.0	72.13952940126231	55.0	101.0	27.27272727272727	128899033.0
RGP_94_4_2	79.66	37721106.0	75.13992819906906	53.0	101.0	18.181818181818183	120140658.0
RP-1118_MAN_1438-01-M1_R1_v2_RNA_OnPrem	92.9	77768160.0					
RP-1850_MUN_FAM1_CTRL_02_R1_v1_RNA_OnPrem	90.75	24312084.0					
RP-1850_MUN_FAM3_PARTIALMDC1A1_01_R1_v2_RNA_OnPrem	94.02	129908861.0					
RP-1850_MUN_FAM4_ATYPICALMDC1A_01_R1_v2_RNA_OnPrem	93.61	32135621.0					
RP-1850_MUN_FAM4_ATYPICALMDC1A_01_R2_v2_RNA_OnPrem	91.02	106831044.0					
RP-1850_MUN_FAM5_SIBLINGMDC1A_01_R1_v2_RNA_OnPrem	92.86	31171165.0					
RP-1850_MUN_FAM5_SIBLINGMDC1A_01_R2_v2_RNA_OnPrem	93.69	32149666.0					
RP-1850_MUN_FAM5_SIBLINGMDC1A_01_R3_v2_RNA_OnPrem	90.61	31856404.0					
RP-2034_RGP_800_3_2_v2_RNA_OnPrem	93.72	21888649.0					
RP-2073_193CP_LS_R1_v3_RNA_OnPrem	91.61	115553553.0					
RP-2073_92AI_SM_R1_v2_RNA_OnPrem	90.15	44907021.0					
RP-2073_INMR_GB_408_R1_v2_RNA_OnPrem	91.88	42451323.0					
RP-2073_INMR_GI_456_R1_v2_RNA_OnPrem	90.46	40767447.0					
RP-2073_INMR_HW_389_R1_v3_RNA_OnPrem	92.08	99702683.0					
RP-2073_INMR_HZ_401_R1_v3_RNA_OnPrem	92.35	106779156.0					
RP-2073_INMR_IG_561_R1_v3_RNA_OnPrem	92.33	106980249.0					
RP-2073_INMR_IK_581_R1_v3_RNA_OnPrem	91.34	96458023.0					
RP-2073_INMR_IV_615_R1_v3_RNA_OnPrem	92.16	75414743.0					
SRPK3_EM__1	95.04	31384063.0	55.66532759185434	50.0	101.0	9.090909090909092	69186894.0
SRPK3_JAP_1	94.9	32313097.0	56.52361729978716	49.0	101.0	9.090909090909092	71164528.0
SRPK3_USA_1	92.46	75067394.0	74.69552992639237	49.0	101.0	9.090909090909092	174010408.0
SWE_36223_1	89.39	54887610.0	42.00738790043275	50.0	101.0	0.0	134171081.0
SWE_36326_1	91.9	57270830.0	40.28956363627586	49.0	101.0	0.0	132718788.0
T1244	92.39	31522255.0	45.22808914548919	49.0	76.0	27.27272727272727	70781407.0
T238	91.73	39121330.0	67.8546349251447	50.0	76.0	36.36363636363637	88142930.0
T757	92.22	28387363.0	64.07065700497371	48.0	76.0	36.36363636363637	64407854.0
T850	92.3	29858555.0	49.363130340646435	49.0	76.0	27.27272727272727	67224982.0
T892	91.59	29346412.0	43.12048173458466	49.0	76.0	27.27272727272727	66613144.0
TOP_MAAC031_F_Muscle1	86.79	89066326.0	54.49807193282387	50.0	76.0	9.090909090909092	213191394.0
UC223-1RNA	90.5	31600430.0					
UC223.1RNA			78.14735678409345	49.0	76.0	18.181818181818183	72663200.0
UC305-1M	88.69	52923181.0					
UC305.1M			62.353143608636344	49.0	76.0	18.181818181818183	124220568.0
UC316-1M	92.34	46884104.0					
UC316.1M			60.15821522514748	48.0	76.0	18.181818181818183	104432633.0
UC368-1M	88.74	61459541.0					
UC368.1M			58.50702119264015	48.0	76.0	18.181818181818183	143481736.0
UC393-1M	89.87	55076584.0					
UC393.1M			57.167308166202	49.0	76.0	18.181818181818183	127781955.0
UC84-1RNA	90.73	24669948.0					
UC84.1RNA			58.80618993615855	50.0	76.0	18.181818181818183	56351806.0
UWA_FAM7_PT_D16-1243_2	89.73	75981057.0	69.30749827868412	51.0	101.0	9.090909090909092	186453309.0
VCGS_DLS_FAM1_1_R1	93.86	67883243.0	54.29218960792169	48.0	101.0	9.090909090909092	152309113.0
VCGS_FAM11_32_2	92.16	41482712.0	40.5164522990028	49.0	101.0	0.0	96182035.0
VCGS_FAM12_36_2	87.81	46803015.0	42.54743570888798	50.0	101.0	0.0	118607612.0
VCGS_FAM147_459_2	93.1	57467235.0	39.7582829110527	50.0	101.0	0.0	130213756.0
VCGS_FAM148_462_2	94.49	69542498.0	41.53056586492443	49.0	101.0	0.0	153603294.0
VCGS_FAM149_465_2	93.41	70006644.0	44.95565723975192	49.0	101.0	0.0	159047259.0
VCGS_FAM150_468_2	93.89	73054675.0	45.05049074128509	50.0	101.0	0.0	163794980.0
VCGS_FAM1_1_2	91.91	47829945.0	45.546320963099305	49.0	101.0	0.0	111377004.0
VCGS_FAM22_69_2	93.13	54122622.0	49.16031480617702	49.0	101.0	0.0	123810944.0
VCGS_FAM26_81_2	93.13	40656927.0	40.826586479295244	48.0	101.0	0.0	92810060.0
VCGS_FAM27_84_2	93.33	39730841.0	32.95988720765567	49.0	101.0	0.0	89858399.0
VCGS_FAM29_90_R1	90.51	42194754.0	42.49839184260641	49.0	101.0	0.0	100370718.0
VCGS_FAM2_4_2	92.42	65806691.0	46.40525164427275	51.0	101.0	0.0	152773891.0
VCGS_FAM31_97_2	90.47	44110513.0	37.73874804442391	49.0	101.0	0.0	106150493.0
VCGS_FAM39_123_R1	90.57	34310782.0	44.025449970026806	49.0	101.0	0.0	81451680.0
VCGS_FAM3_7_2	92.63	72447776.0	42.714955607972705	50.0	101.0	0.0	165221732.0
VCGS_FAM41_129_2	90.07	36904923.0	36.97140605491479	49.0	101.0	0.0	89250896.0
VCGS_FAM42_132_2	92.87	40725277.0	34.1208490839696	49.0	101.0	0.0	92763737.0
VCGS_FAM49_153_R1	91.79	47066614.0	42.140594071754464	49.0	101.0	0.0	109136969.0
VCGS_FAM4_13_2	91.73	47543477.0	45.98068286644727	48.0	101.0	0.0	111301507.0
VCGS_FAM52_162_3	93.55	64722822.0	39.226841708260096	50.0	101.0	0.0	146283132.0
VCGS_FAM58_181_R1	92.11	43180988.0	43.17384424923954	49.0	101.0	0.0	99990890.0
VCGS_FAM61_190_R1	92.75	54254866.0	45.36368009621275	49.0	101.0	0.0	123578008.0
VCGS_FAM67_209_R1	92.2	45656955.0	41.48777450630929	49.0	101.0	0.0	105266207.0
VCGS_FAM73_227_2	93.67	66180262.0	43.17529853437332	49.0	101.0	0.0	148717875.0
VCGS_FAM84_260_R1	93.04	34156212.0	40.64825641262275	49.0	101.0	0.0	77596094.0
VIL_17_097	92.67	53437655.0	79.57725675922191	49.0	101.0	9.090909090909092	121040126.0
VIL_17_098	93.91	44443913.0	63.21354151771702	49.0	101.0	9.090909090909092	99105420.0
VIL_17_099	92.94	54697960.0	79.85609678272925	49.0	101.0	18.181818181818183	123031483.0
VIL_17_105	93.53	47045755.0	67.76581749883226	49.0	101.0	9.090909090909092	105095259.0
VIL_17_106	94.37	59108595.0	67.34885735544654	49.0	101.0	9.090909090909092	130580955.0
VIL_17_107	93.07	66195761.0	76.68236228312912	48.0	101.0	9.090909090909092	148530528.0
