Sample	Unique Reads	Duplicate Reads
LIA_EDW01_1	31550123.0	27827345.0
LIA_MAS02_2	46948211.0	137962839.0
LIA_TIS03_2	32303470.0	21986990.0
MAN_0063_01_02	2723423.0	1031098.0
MAN_0063_01_03	402986.0	495642.0
MAN_1001_01_M1_D1	54538153.0	105726927.0
MAN_1438-01-M1	40657603.0	134954315.0
MBEL028_001_3	29437144.0	41852099.0
MBEL028_002_1	25143630.0	51933265.0
MBRU030_2	39737513.0	30382211.0
MCOP008_001_2	25571726.0	54245674.0
MESP014_2	45343914.0	26995198.0
MESP021_001_2	27624562.0	52565731.0
MESP039_2	41291841.0	71782263.0
MGLA003_001_2	25615454.0	52966499.0
MMAD002_001_2	29462781.0	33036155.0
MTEH041_001_2	31759552.0	52149854.0
MUN_FAM1_CTRL_01	26292727.0	75342408.0
MUN_FAM1_CTRL_02	14821632.0	42911269.0
MUN_FAM1_CTRL_03	28887214.0	53395357.0
MUN_FAM1_CTRL_04	19765918.0	65770511.0
MUN_FAM2_TOTALMDC1A1_02	24455593.0	89055814.0
MUN_FAM2_TOTALMDC1A1_03	37655252.0	63220248.0
MUN_FAM2_TOTALMDC1A1_04	12702637.0	14944901.0
MUN_FAM2_TOTALMDC1A1_05	28858400.0	61074526.0
MUN_FAM3_PARTIALMDC1A1_01	36322019.0	255037297.0
MUN_FAM3_PARTIALMDC1A1_02	22093536.0	22604655.0
MUN_FAM3_PARTIALMDC1A1_03	26103501.0	55355555.0
MUN_FAM3_PARTIALMDC1A1_05	10488524.0	19234759.0
MUN_FAM4_ATYPICALMDC1A_01_R1	34892138.0	37178918.0
MUN_FAM4_ATYPICALMDC1A_01_R2	61864483.0	191455635.0
MUN_FAM4_ATYPICALMDC1A_01_R3	38932091.0	54808445.0
MUN_FAM5_SIBLINGMDC1A_01_R1	31294994.0	39884162.0
MUN_FAM5_SIBLINGMDC1A_01_R2	32436137.0	39787100.0
MUN_FAM5_SIBLINGMDC1A_01_R3	33268080.0	43584177.0
M_0146-01-H1	70955474.0	75180251.0
NH11-441	32797691.0	69126346.0
NH12-1413	36385103.0	70462889.0
NH12-843_Fibroblasts	35673421.0	14496083.0
NH12-843_MyoD_Day5	59969563.0	40389486.0
OUN_HK018_0047	80227382.0	134711474.0
OUN_HK047_0116	34420956.0	154798078.0
OUN_HK079_001	29117303.0	151724731.0
OUN_HK080_001	32844096.0	158588200.0
OUN_HK081_001	40174777.0	183513625.0
OUN_HK112_001	61947861.0	151621949.0
OUN_HK116_001	46762709.0	156792236.0
OUN_HK124_001	37853271.0	71566958.0
OUN_HK137_001	66944423.0	116686528.0
RGP_248_3	17481254.0	101737045.0
RGP_273_3	36705290.0	95896722.0
RGP_54_3_2	39850885.0	85926004.0
RGP_552_3	16501505.0	103215201.0
RGP_554_3_2	32620536.0	150499678.0
RGP_558_3	74909470.0	147362207.0
RGP_56_3_3	26126768.0	62882387.0
RGP_673_3	45433413.0	51953192.0
RGP_677_3	34916275.0	34295784.0
RGP_677_4	45209466.0	63003708.0
RGP_7_1_2	60064088.0	33543275.0
RGP_7_2_2	58717718.0	32856024.0
RGP_7_3_2	63518505.0	38347241.0
RGP_7_4_2	50577970.0	33570748.0
RGP_7_5_2	60230536.0	32369742.0
RGP_800_3_2	19471640.0	30001108.0
RGP_94_3_2	35911878.0	92987155.0
RGP_94_4_2	29867054.0	90273604.0
SRPK3_EM__1	30673783.0	38513111.0
SRPK3_JAP_1	30939763.0	40224765.0
SRPK3_USA_1	44032412.0	129977996.0
SWE_36223_1	77809315.0	56361766.0
SWE_36326_1	79246968.0	53471820.0
T1244	38768330.0	32013077.0
T238	28333867.0	59809063.0
T757	23141319.0	41266535.0
T850	34040627.0	33184355.0
T892	37889236.0	28723908.0
TOP_MAAC031_F_Muscle1	97006195.0	116185199.0
UC223-1RNA	15878830.0	56784370.0
UC305-1M	46765139.0	77455429.0
UC316-1M	41607825.0	62824808.0
UC368-1M	59534847.0	83946889.0
UC393-1M	54732452.0	73049503.0
UC84-1RNA	23213456.0	33138350.0
UWA_FAM7_PT_D16-1243_2	57227186.0	129226123.0
VCGS_DLS_FAM1_1	69617161.0	82691952.0
VCGS_FAM11_32_2	57212487.0	38969548.0
VCGS_FAM12_36_2	68143115.0	50464497.0
VCGS_FAM147_459_2	78443003.0	51770753.0
VCGS_FAM148_462_2	89810977.0	63792317.0
VCGS_FAM149_465_2	87546519.0	71500740.0
VCGS_FAM150_468_2	90004538.0	73790442.0
VCGS_FAM1_1_2	60648877.0	50728127.0
VCGS_FAM22_69_2	62945095.0	60865849.0
VCGS_FAM26_81_2	54918881.0	37891179.0
VCGS_FAM27_84_2	60241173.0	29617226.0
VCGS_FAM29_90	57714777.0	42655941.0
VCGS_FAM2_4_2	81878783.0	70895108.0
VCGS_FAM31_97_2	66090626.0	40059867.0
VCGS_FAM39_123	45592212.0	35859468.0
VCGS_FAM3_7_2	94647343.0	70574389.0
VCGS_FAM41_129_2	56253585.0	32997311.0
VCGS_FAM42_132_2	61111963.0	31651774.0
VCGS_FAM49_153	63146002.0	45990967.0
VCGS_FAM4_13_2	60124315.0	51177192.0
VCGS_FAM52_162_3	88900880.0	57382252.0
VCGS_FAM58_181	56820979.0	43169911.0
VCGS_FAM61_190	67518476.0	56059532.0
VCGS_FAM67_209	61593601.0	43672606.0
VCGS_FAM73_227_2	84508489.0	64209386.0
VCGS_FAM84_260	46054635.0	31541459.0
WAL_OTH2405f-Dec19	92416060.0	64574516.0
WAL_OTH2405f-Feb20A	77230474.0	58251087.0
WAL_OTH2405f-Feb20C	81414332.0	67876967.0
WAL_OTH2406d-Dec19	79777485.0	59229248.0
WAL_OTH2406d-Feb20A	83762147.0	60041001.0
WAL_OTH2406d-Feb20B	96472978.0	70755005.0
WAL_OTH2407d-Dec19	80584621.0	63117782.0
WAL_OTH2407d-Feb20A	98875865.0	79811669.0
WAL_OTH2407d-Feb20B	101246370.0	92338126.0
WAL_OTH2419f-Dec19	85836536.0	60493732.0
WAL_OTH2419f-Feb20A	89425401.0	62371496.0
WAL_OTH2419f-Feb20B	76214002.0	47156708.0
