Sample	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Expression_Profiling_Efficiency	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Genes_Detected	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-rRNA_Rate	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
B09-24-1RNA_UNKNOWN	0.827577	30441	0.0144442	86.94	138419590.0
B09-25-1RNA	0.866895	22038	0.0122074	89.45	27047585.0
B09-40-1M	0.890693	20947	0.00764554	88.0	50098819.0
B10-02-1RNA	0.841775	26396	0.0164416	88.4	79810970.0
B11-11-1M	0.892423	23200	0.0169448	91.68	42867615.0
B11-25-1M	0.880352	25646	0.0103393	90.9	80126846.0
B11-48-1M	0.91047	22141	0.0179444	89.82	52437580.0
B12-21-1M	0.894803	21231	0.0120593	87.89	56824870.0
B12-30RNA	0.894664	19510	0.0182071	89.75	136828178.0
B13-07-1M	0.880718	25023	0.0138893	89.18	108123220.0
B13-07-1RNA	0.890032	20164	0.0135181	90.58	25198639.0
B13-15RNA	0.847116	24089	0.00962802	91.49	37821183.0
B13-52-1M	0.892542	23234	0.0185978	90.84	49063154.0
B14-07RNA	0.892233	22991	0.0120898	91.37	34122273.0
B14-117-1RNA-2	0.876541	22847	0.012566	90.32	30064307.0
B14-130-1M	0.892177	23951	0.00931845	89.34	54847930.0
B14-48-1RNA	0.831842	23422	0.0107033	90.09	24197998.0
B14-70-1RNA	0.886209	22133	0.0093874	91.62	28359086.0
B14-78-1-U	0.906371	24636	0.0205359	90.84	66278716.0
B15-15_1_1	0.908944	25023	0.0232762	93.54	140874261.0
B15-25_1_2	0.73993	13601	0.0731069	75.34	7948541.0
B15-28_1_1	0.908262	24851	0.0212841	92.74	144973665.0
B16-47_1_2	0.871409	13910	0.107801	87.36	24137698.0
B16-48_1_1	0.892368	27128	0.0175292	92.48	110834725.0
BB0280_CH_AffF_2	0.931153	21758	0.010369	95.32	32202546.0
BEG_1025-1_T999	0.937764	21326	0.0186225	92.62	61372364.0
BEG_1078-1_T1071	0.939068	21988	0.0256462	92.88	82317620.0
BEG_1111-1_T1105	0.938289	22345	0.0155237	92.77	59678879.0
BEG_1230-1_T1227	0.922576	21534	0.0179102	92.0	37032275.0
BEG_14-4_T65	0.922275	22261	0.0097096	91.52	54769204.0
BEG_1435-01_T1370	0.947801	20849	0.0110839	92.68	60539696.0
BEG_1438-1_T1339	0.928983	22456	0.00916543	92.86	62656842.0
BEG_851-1_T840	0.908944	22181	0.0122421	91.14	68661957.0
BEG_887-1_T1240	0.910551	23039	0.00759251	89.84	64626281.0
BEG_916-1_T916	0.936048	21206	0.0127135	92.73	58423225.0
BON_B09-27-1_1	0.881232	22106	0.0227784	91.28	27859314.0
BON_B12-33-2_1	0.875009	21349	0.028111	91.53	28173088.0
BON_B12-71_2	0.920903	23059	0.00470172	92.25	96106670.0
BON_B12-74-1_1	0.878837	20990	0.0244854	91.37	28369706.0
BON_B12-76-1_2	0.862597	22753	0.02647	91.24	37637394.0
BON_B13-55_1_2	0.887454	25266	0.0204431	92.19	93822039.0
BON_B14-163-1_2	0.871558	21677	0.0207444	94.39	30740584.0
BON_B14-20_1	0.873746	20439	0.0288159	90.29	22714618.0
BON_B14-51_1_2	0.93281	20697	0.00502793	93.95	49288542.0
BON_B14-60-1_2	0.870732	23429	0.0178694	93.98	44623939.0
BON_B14-71-2_1	0.811527	23290	0.0257396	91.78	27196978.0
BON_B14-75-1_1	0.805528	23656	0.00665675	91.22	26226573.0
BON_B15-118_1	0.883317	21773	0.0224624	94.69	40547339.0
BON_B15-125_1_2	0.928613	21598	0.00591283	93.27	69659388.0
BON_B15-26_1_1	0.944084	20462	0.00552739	95.08	49019979.0
BON_B15-76-2_2	0.865886	23390	0.0115101	94.33	42258333.0
BON_B15-98_1_2	0.924457	21564	0.00698855	92.95	54660321.0
BON_B16-19_1	0.857042	20593	0.0159301	87.84	25648886.0
BON_B16-22_1	0.886029	20878	0.0102723	92.22	25240456.0
BON_B16-50_1_2	0.918144	20840	0.00459146	91.71	46251067.0
BON_B16-53-1_1	0.86302	26301	0.0800534	87.52	90116446.0
BON_B16-57_1_2	0.913879	20861	0.00606966	93.28	37991985.0
BON_B16-75-1_2	0.897317	22731	0.0173675	94.49	41194961.0
BON_B16_30_1_1	0.910768	22774	0.0229445	91.47	77896207.0
BON_B16_80_1_1	0.909407	22592	0.0240179	91.19	57065914.0
BON_B17-23_1	0.886309	25004	0.0179097	92.43	115668489.0
BON_B17-28_1	0.917781	23858	0.00276628	90.85	124144180.0
BON_B18-24_1	0.90739	20926	0.0178059	93.05	39029703.0
BON_B18-25_1	0.895427	21886	0.0243368	92.22	40733549.0
BON_B18-54_1	0.863852	22746	0.0263944	91.7	43135986.0
BON_UC219-1_1	0.836512	22447	0.018751	91.61	25262170.0
BON_UC473_1	0.831716	23047	0.0128306	91.27	27381516.0
CLA_143BN_BB_2	0.858551	24562	0.0221907	86.06	68475335.0
CLA_179CI_GG_2	0.917364	20178	0.028745	89.49	26100017.0
CLA_180CJ_DP_2	0.791961	28202	0.0267826	83.0	86977677.0
CLA_214DF_AB_2	0.852402	24075	0.0191405	93.89	36553600.0
CLA_329FK_RR_2	0.879928	21128	0.0210695	94.06	31774059.0
CLA_338FT_DM_2	0.878019	21391	0.0146473	93.78	29529695.0
CLA_388HV_XX_1	0.851032	18717	0.0184977	89.68	7455927.0
CLA_62R_CaM_2	0.890562	8766	0.0263053	90.86	407720.0
CLA_62R_CaM_3	0.900112	20653	0.020673	93.64	33810232.0
CLA_79Z_CP_2	0.891676	21497	0.0154077	90.04	25891859.0
HK-006	0.951622	21917	0.00271343	94.71	112873531.0
HK-010	0.948596	21549	0.00256468	94.91	93607596.0
HK-015	0.950903	21665	0.00157556	94.51	96738120.0
HK-022	0.947638	22019	0.00333842	94.95	105496087.0
HK-025	0.918535	23304	0.00574803	94.18	121379717.0
HK-032	0.94557	22767	0.00284264	94.44	127105243.0
HK-035	0.951754	22125	0.00315331	94.87	121211158.0
HK-047	0.950101	21524	0.00214886	94.6	98902817.0
HK-061	0.953172	20717	0.00213694	94.79	77624240.0
HK-070	0.94309	20180	0.00329281	93.86	48957541.0
HK-071-001	0.947668	22074	0.0033245	93.11	147134877.0
HK-071-004	0.947012	19383	0.00354706	93.97	43149605.0
HK-073	0.951375	22262	0.00343842	94.85	117976887.0
HK-075	0.94903	21918	0.00187855	94.53	109973609.0
HK-081	0.952368	21613	0.00226959	94.7	113596761.0
HK-085	0.954186	22206	0.00205343	94.28	130716259.0
HK-087	0.952096	21887	0.00429122	94.07	115375129.0
HK-095	0.931961	22385	0.0154622	93.13	111797567.0
HK-100	0.928955	22217	0.00470331	93.44	129163706.0
HK-104	0.953384	21352	0.00226559	93.88	99555343.0
HK-107	0.945766	22540	0.00365523	94.88	107974351.0
HK-108	0.942605	22486	0.00276755	94.7	117758839.0
HK-114	0.942104	19816	0.00196923	94.15	44569143.0
HK-115	0.947088	22645	0.0030706	94.7	118489849.0
HK-116	0.950103	21762	0.0026389	94.38	97302653.0
HK-119	0.95466	22026	0.00188166	94.63	106348018.0
HK-124	0.950842	22201	0.00240184	94.76	120806565.0
HK-126	0.948218	22857	0.00180786	95.08	138073000.0
HK-127	0.951476	21871	0.0035507	95.08	106338498.0
HK-131	0.945597	21958	0.00338751	94.91	102589571.0
HK-133	0.946385	19381	0.0027255	94.0	37920481.0
HK-134	0.902172	22308	0.00662089	94.53	114976083.0
HK-139	0.953797	20838	0.00322921	94.88	69711508.0
HK006_0016	0.931462	20065	0.00519038	93.92	41061307.0
HK010_0026	0.934361	22079	0.00445244	94.28	88692305.0
HK011_0029	0.937417	19965	0.00232034	90.73	46386576.0
HK018_0047_2	0.90072	23710	0.00809415	92.52	43929757.0
HK024_0065	0.932305	20177	0.00308309	90.58	52281923.0
HK028_0073	0.946465	19341	0.00296128	92.41	48686330.0
HK044_0109	0.946486	19887	0.00322259	93.08	44338192.0
HK044_0110	0.910313	20852	0.00488199	89.92	58671892.0
HK060-0154	0.92709	20955	0.0337197	92.39	53114902.0
HK069-0177_2	0.935846	19877	0.0209509	93.66	41414338.0
HK072-001_2	0.933428	21092	0.0200679	93.23	62921983.0
HK085-001	0.937263	21857	0.0069552	94.03	84602297.0
HK088-001_2	0.939571	20575	0.0060004	95.39	42265043.0
HK101-001	0.944654	22077	0.00271245	91.98	100442487.0
HK106-001	0.938115	19480	0.00229711	90.9	45266597.0
HK117_001	0.919421	20897	0.00364984	90.75	62769581.0
ICCV_458_10CC06258_02	0.916904	22526	0.00992086	92.62	54863117.0
INMR_GB_408	0.872968	23981	0.0138863	91.88	42451323.0
INMR_GI_456	0.911486	20964	0.0154927	90.46	40767447.0
INMR_HW_389	0.867033	25568	0.0206454	92.08	99702683.0
INMR_HZ_401	0.902339	25103	0.0138993	92.35	106779156.0
INMR_IG_561	0.890141	25439	0.0135337	92.33	106980249.0
INMR_IK_581	0.844539	27436	0.0159454	91.34	96458023.0
INMR_IV_615	0.894694	22840	0.00507995	92.16	75414743.0
K1157-1-4	0.902336	24855	0.0162062	91.63	64472527.0
LIA_EDW01_1	0.915651	19974	0.0171427	91.81	25195246.0
LIA_MAS02_2	0.87828	24902	0.0192982	90.58	77010493.0
LIA_TIS03_2	0.862834	21500	0.0166887	92.5	23373093.0
MAN_0063_01_02	0.862561	14504	0.0104899	92.02	1600202.0
MAN_0063_01_03	0.702633	7799	0.0558546	75.58	262809.0
MAN_1001_01_M1_D1	0.935352	22999	0.0142712	93.42	71307125.0
MAN_1438-01-M1	0.919823	23922	0.0185378	92.9	77768160.0
MBEL028_001_3	0.948779	18885	0.0214099	95.14	32411434.0
MBEL028_002_1	0.949645	19233	0.0191917	94.77	34942697.0
MBRU030_2	0.942339	20369	0.0130917	95.3	31893247.0
MCOP008_001_2	0.938732	19092	0.0357182	94.18	35806710.0
MESP014_2	0.88	20546	0.00698007	91.12	30594885.0
MESP021_001_2	0.946532	19176	0.0206561	94.83	36363614.0
MESP039_2	0.940392	20663	0.0152535	94.48	51163131.0
MGLA003_001_2	0.947019	18601	0.0176704	93.82	34993461.0
MMAD002_001_2	0.942583	19109	0.0193093	94.38	28145315.0
MTEH041_001_2	0.918679	22469	0.0170353	94.19	37295171.0
MUN_FAM1_CTRL_01	0.892355	21711	0.0221521	91.85	44410106.0
MUN_FAM1_CTRL_02	0.923895	17274	0.0218217	90.75	24312084.0
MUN_FAM1_CTRL_03	0.886146	21134	0.0237923	93.25	36566571.0
MUN_FAM1_CTRL_04	0.905347	17880	0.0461294	88.05	34251595.0
MUN_FAM2_TOTALMDC1A1_02	0.847027	24933	0.0182203	93.31	50040317.0
MUN_FAM2_TOTALMDC1A1_03	0.87598	22824	0.0183696	88.78	41027811.0
MUN_FAM2_TOTALMDC1A1_04	0.814429	19902	0.0210575	92.31	11758513.0
MUN_FAM2_TOTALMDC1A1_05	0.909607	22749	0.0197781	93.51	39946028.0
MUN_FAM3_PARTIALMDC1A1_01	0.887569	24896	0.0245575	94.02	129908861.0
MUN_FAM3_PARTIALMDC1A1_02	0.878163	20887	0.0211404	93.16	19578742.0
MUN_FAM3_PARTIALMDC1A1_03	0.848915	22684	0.0181038	93.19	35859079.0
MUN_FAM3_PARTIALMDC1A1_05	0.882766	17008	0.0203613	88.87	11529253.0
MUN_FAM4_ATYPICALMDC1A_01_R1	0.885573	23065	0.0128015	93.61	32135621.0
MUN_FAM4_ATYPICALMDC1A_01_R2	0.88667	25270	0.0135397	91.02	106831044.0
MUN_FAM4_ATYPICALMDC1A_01_R3	0.887524	22951	0.0144832	91.8	40305337.0
MUN_FAM5_SIBLINGMDC1A_01_R1	0.888337	22117	0.0208332	92.86	31171165.0
MUN_FAM5_SIBLINGMDC1A_01_R2	0.896325	22092	0.0206994	93.69	32149666.0
MUN_FAM5_SIBLINGMDC1A_01_R3	0.863306	22012	0.0214365	90.61	31856404.0
M_0146-01-H1	0.846753	25929	0.0173219	88.04	61799773.0
NH11-441	0.902449	23783	0.0105608	92.98	45875913.0
NH12-1413	0.898905	23582	0.0120442	92.49	47674564.0
NH12-843_Fibroblasts	0.901211	18569	0.00469192	91.84	21446863.0
NH12-843_MyoD_Day5	0.863807	22888	0.00567143	91.57	42485862.0
OUN_HK018_0047	0.912759	24911	0.00694031	90.82	91501214.0
OUN_HK047_0116	0.938679	21436	0.0186225	92.34	82861471.0
OUN_HK079_001	0.94266	20397	0.0205515	92.48	79100137.0
OUN_HK080_001	0.931535	22058	0.0206292	91.3	82693008.0
OUN_HK081_001	0.937505	21836	0.016807	92.17	97492957.0
OUN_HK112_001	0.918684	23966	0.0124727	91.96	92543874.0
OUN_HK116_001	0.934761	23448	0.012317	91.96	89029963.0
OUN_HK124_001	0.932036	20640	0.0118308	92.2	48051681.0
OUN_HK137_001	0.929968	24505	0.00799971	93.1	81246720.0
RGP_248_3	0.90334	21657	0.0353557	91.15	50640216.0
RGP_273_3	0.942913	21471	0.0128151	93.05	58739098.0
RGP_54_3_2	0.936229	20316	0.0121582	92.61	54838690.0
RGP_552_3	0.899782	20394	0.0253069	89.3	48936810.0
RGP_554_3_2	0.819356	22719	0.00385463	86.8	67731555.0
RGP_558_3	0.82199	23605	0.004712	84.25	69971598.0
RGP_56_3_3	0.927498	20815	0.0197353	92.08	38458251.0
RGP_673_3	0.777265	20139	0.00769025	78.6	22189092.0
RGP_677_3	0.747238	19798	0.00606352	86.07	19260883.0
RGP_677_4	0.727963	20731	0.00498063	78.92	24174998.0
RGP_7_1_2	0.932487	20513	0.00286198	93.64	41755751.0
RGP_7_2_2	0.930234	20486	0.00370017	94.32	41368774.0
RGP_7_3_2	0.924783	20927	0.00341099	92.93	44736538.0
RGP_7_4_2	0.85686	20818	0.00328583	86.86	33637043.0
RGP_7_5_2	0.931473	20531	0.00221792	93.99	41523690.0
RGP_800_3_2	0.931694	18495	0.0237346	93.72	21888649.0
RGP_94_3_2	0.819264	21250	0.00542483	78.64	37577778.0
RGP_94_4_2	0.799008	21321	0.00440407	79.66	37721106.0
SRPK3_EM__1	0.945216	18582	0.0232441	95.04	31384063.0
SRPK3_JAP_1	0.95236	19027	0.0176378	94.9	32313097.0
SRPK3_USA_1	0.912265	23354	0.0288586	92.46	75067394.0
SWE_36223_1	0.884271	21670	0.00639244	89.39	54887610.0
SWE_36326_1	0.903744	21886	0.00526462	91.9	57270830.0
T1244	0.874977	23553	0.0113067	92.39	31522255.0
T238	0.90972	21507	0.0132016	91.73	39121330.0
T757	0.831648	24207	0.0191945	92.22	28387363.0
T850	0.867143	22861	0.0176758	92.3	29858555.0
T892	0.896475	21930	0.0116834	91.59	29346412.0
TOP_MAAC031_F_Muscle1	0.853232	26916	0.0279279	86.79	89066326.0
UC223-1RNA	0.879589	22481	0.0185191	90.5	31600430.0
UC305-1M	0.900133	21947	0.0142828	88.69	52923181.0
UC316-1M	0.880967	23865	0.0150374	92.34	46884104.0
UC368-1M	0.871107	23826	0.0196241	88.74	61459541.0
UC393-1M	0.893498	23725	0.01478	89.87	55076584.0
UC84-1RNA	0.917675	19167	0.014365	90.73	24669948.0
UWA_FAM7_PT_D16-1243_2	0.896215	22809	0.0172218	89.73	75981057.0
VCGS_DLS_FAM1_1	0.930681	22021	0.013574	93.86	67883243.0
VCGS_FAM11_32_2	0.892746	21098	0.00415537	92.16	41482712.0
VCGS_FAM12_36_2	0.874423	21633	0.00294825	87.81	46803015.0
VCGS_FAM147_459_2	0.945061	20493	0.00286381	93.1	57467235.0
VCGS_FAM148_462_2	0.935785	21708	0.00238754	94.49	69542498.0
VCGS_FAM149_465_2	0.92515	22235	0.00415376	93.41	70006644.0
VCGS_FAM150_468_2	0.937492	21791	0.0037264	93.89	73054675.0
VCGS_FAM1_1_2	0.905956	21256	0.0045389	91.91	47829945.0
VCGS_FAM22_69_2	0.898755	22424	0.00597508	93.13	54122622.0
VCGS_FAM26_81_2	0.870726	21416	0.00567755	93.13	40656927.0
VCGS_FAM27_84_2	0.933846	19672	0.00220908	93.33	39730841.0
VCGS_FAM29_90	0.926168	19800	0.00208606	90.51	42194754.0
VCGS_FAM2_4_2	0.926435	21508	0.00322788	92.42	65806691.0
VCGS_FAM31_97_2	0.897091	20707	0.00171166	90.47	44110513.0
VCGS_FAM39_123	0.927343	19026	0.00356668	90.57	34310782.0
VCGS_FAM3_7_2	0.924133	21937	0.00311545	92.63	72447776.0
VCGS_FAM41_129_2	0.890259	20879	0.00334961	90.07	36904923.0
VCGS_FAM42_132_2	0.927668	19855	0.00223959	92.87	40725277.0
VCGS_FAM49_153	0.931875	19892	0.0021601	91.79	47066614.0
VCGS_FAM4_13_2	0.886346	21758	0.00489024	91.73	47543477.0
VCGS_FAM52_162_3	0.939766	20971	0.00291836	93.55	64722822.0
VCGS_FAM58_181	0.939435	19796	0.0018736	92.11	43180988.0
VCGS_FAM61_190	0.937946	20325	0.00251279	92.75	54254866.0
VCGS_FAM67_209	0.937975	19994	0.0018211	92.2	45656955.0
VCGS_FAM73_227_2	0.927142	21959	0.00329531	93.67	66180262.0
VCGS_FAM84_260	0.941075	19336	0.00347437	93.04	34156212.0
VIL_17_097				92.67	53437655.0
VIL_17_098				93.91	44443913.0
VIL_17_099				92.94	54697960.0
VIL_17_105				93.53	47045755.0
VIL_17_106				94.37	59108595.0
VIL_17_107				93.07	66195761.0
VIL_17_110				93.84	48664572.0
VIL_17_111				94.38	38766502.0
VIL_17_120				93.99	59154467.0
VIL_17_121				93.54	65239690.0
VIL_17_141				93.79	50483130.0
VIL_17_150				93.04	75901378.0
VIL_17_151				92.93	70981367.0
VIL_17_152				93.84	68959820.0
VIL_17_163				93.34	24299889.0
VIL_17_164				92.91	50694811.0
VIL_18_045				92.73	61162429.0
VIL_18_046				93.03	44495727.0
VIL_18_061				91.38	75737133.0
VIL_18_120				92.67	68966433.0
WAL_OTH2405f-Dec19	0.877931	24176	0.00452396	94.71	65840734.0
WAL_OTH2405f-Feb20A	0.890615	22585	0.00490556	92.79	53510762.0
WAL_OTH2405f-Feb20C	0.892831	23074	0.00480254	93.13	61934630.0
WAL_OTH2406d-Dec19	0.892905	23167	0.00334386	94.14	56477287.0
WAL_OTH2406d-Feb20A	0.879464	22875	0.0041447	92.64	58232659.0
WAL_OTH2406d-Feb20B	0.856934	22982	0.0082643	89.32	56526618.0
WAL_OTH2407d-Dec19	0.888171	23880	0.00398661	94.34	60172855.0
WAL_OTH2407d-Feb20A	0.887065	23471	0.00464846	92.64	69405123.0
WAL_OTH2407d-Feb20B	0.889693	23819	0.00456991	92.65	76750845.0
WAL_OTH2419f-Dec19	0.896451	23131	0.00362484	94.3	60218366.0
WAL_OTH2419f-Feb20A	0.895009	23204	0.00417799	93.55	62939980.0
WAL_OTH2419f-Feb20B	0.889291	22661	0.00403995	92.68	49598401.0
